"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1","21758770","Active","CND","5356 SPRING CREEK Pl","4902","$1,195","2","2","0","PikeTwp","SPRING CREEK","1","1LEVL","ATTACH","1","1,087","No","1,087","25","RWHA01"
"1","21757767","Active","CND","5140 Tuscany Ln","4902","$1,200","2","2","1","PikeTwp","PARKSIDE AT GEORGETOWN","0","2LEVL","ATTACH","1","1,331","No","1,331","38","HOMR01"
"1","21758326","Active","SFD","6101 Patoka Lake Dr","4902","$1,375","3","2","0","PikeTwp","LAKESIDE MANOR","0","1LEVL","ATTACH","2","1,246","No","1,246","24","PGRP01"
"1","21757672","Active","SFD","7030 N PERSHING Rd","4902","$1,495","3","1","1","PikeTwp","NO SUBDIVISION","0","1LEVL","DETATCH","2","1,248","No","1,248","38","MASR01"
"1","21755387","Active","SFD","4314 DABNY Dr","4902","$145,000","3","1","1","Ips","WEDGEWOOD","0","1LEVL","ATTACH","1","1,068","No","1,068","39","SCBA01"
"1","21753081","Active","SFD","5435 Deer Creek Dr","4902","$235,000","3","2","1","PikeTwp","DEER CREEK","1","2LEVL","ATTACH","2","2,200","No","2,200","53","MIDR01"
"1","21750855","Active","SFD","3040 W 79th St","4902","$240,000","4","2","0","PikeTwp","NO SUBDIVISION","1","BILVL","ATTACH","2","2,632","No","2,632","35","MSWS01"
"1","21756376","Active","SFD","4824 Fauna Ln","4902","$2,200,000","5","5","2","PikeTwp","EAGLE RIDGE","3","2LEVL","ATTACH,MULTI","4+","6,795","Yes","12,463","44","TUCK14"
"1","21756769","Active","SFD","6134 Hillside Ave","4903","$629","0","1","0","Washington","NORTHBOROUGH","0","1LEVL","NONE","","550","No","550","45","CAPC01"
"1","21756403","Active","SFD","4438 Evanston Ave","4903","$849","2","1","0","Ips","MONTROSE","0","1LEVL","NONE","","768","No","768","48","CAPC01"
"1","21755391","Active","SFD","4203 Cornelius Ave","4903","$850","3","1","0","Ips","CORYDON","0","1LEVL","NONE","","720","Yes","1,440","55","ALPI01"
"1","21758538","Active","SFD","5021 Indianola Ave","4903","$869","2","1","0","Ips","MAYFAIR","0","1LEVL","NONE","","825","Yes","1,650","27","CAPC01"
"1","21756497","Active","SFD","1716 E 46th St","4903","$869","2","1","0","Ips","BELLAIRE","0","1LEVL","NONE","","768","Yes","1,536","47","CAPC01"
"1","21757580","Active","CND","922 Hoover Village Dr Unit#B","4903","$900","2","2","0","Washington","PARK HOOVER VILLAGE","0","1LEVL","CARPORT","1","1,485","No","1,485","39","BALD01"
"1","21756014","Active","SFD","5303 N College Ave","4903","$900","1","1","0","Ips","NO SUBDIVISION","0","1LEVL","NONE","","600","Yes","1,200","51","EXPL01"
"1","21758038","Active","CND","862C HOOVER VILLAGE Dr","4903","$950","3","2","0","Washington","PARK HOOVER VILLAGE","0","1LEVL","CARPORT","1","1,845","No","1,845","34","JBRC01"
"1","21758716","Active","SFD","420 W 39th St","4903","$975","2","1","0","Ips","H E & A PHELPS","0","1LEVL","NONE","","882","Yes","1,542","25","WYNK01"
"1","21756895","Active","CND","1737 E 56TH St Unit#B","4903","$1,099","2","1","0","Ips","SYCAMORE WOODS","0","1LEVL","NONE","","912","No","912","45","SRRM01"
"1","21754274","Active","SFD","922 Hoover","4903","$1,100","3","2","0","Washington","PARK HOOVER VILLAGE","0","1LEVL","OTHER","","1,485","No","1,485","66","THRS01"
"1","21754546","Active","CND","7416 King George Drive,Unit A Unit#A","4903","$1,250","2","2","0","Washington","LIONS HEAD","0","1LEVL","CARPORT","","1,810","No","1,810","62","TUCK14"
"1","21754233","Active","CND","577 DELLINGHAM Dr Unit#A","4903","$1,250","2","2","0","Washington","LIONS HEAD","0","1LEVL","CARPORT","1","1,810","No","1,810","65","TUCK14"
"1","21756542","Active","SFD","6196 N Washington Blvd","4903","$1,300","2","1","0","Washington","WARFLEIGH","0","2LEVL","NONE","","686","Yes","686","47","THRS01"
"1","21756730","Active","SFD","3832 Graceland Ave","4903","$1,350","3","1","1","Ips","A V BROWNS MAPLETON","1","2LEVL","NONE","","2,117","Yes","2,845","45","PLCL01"
"1","21751755","Active","SFD","920 E 52ND St","4903","$1,500","3","2","0","Ips","SAMUEL CLARKS","1","2LEVL","NONE","","1,550","Yes","2,262","58","TUCK10"
"1","21755953","Active","SFD","4108 Graceland Ave","4903","$1,550","3","2","1","Ips","KETCHAMS NORTH PLACE","0","1HALF","DETATCH","1","1,570","Yes","2,018","52","TREP01"
"1","21759009","Active","SFD","8617 N Meridian St","4903","$1,650","2","2","1","Washington","TOWNHOMES AT MERIDIAN SQUARE","1","MULTI","ATTACH","2","1,600","Yes","2,400","23","SABL01"
"1","21757445","Active","SFD","4078 N Central Ave","4903","$1,650","3","1","2","Ips","ALBERT E UHLS","1","2LEVL","NONE","","1,550","Yes","1,550","40","HALE01"
"1","21754552","Active","SFD","4249 FAIRVIEW Ter","4903","$2,300","5","2","0","Ips","FAIRVIEW","0","1LEVL","DETATCH","2","1,254","Yes","2,166","64","CHER01"
"1","21756888","Active","SFD","5887 Compton St","4903","$3,300","4","2","0","Ips","OAK RIDGE","0","1LEVL","ATTACH","2","1,983","Yes","3,966","45","EXPL01"
"1","21750286","Active","SFD","4567 Cold Spring Rd","4903","$3,500","5","4","1","Washington","NO SUBDIVISION","3","2LEVL","DETATCH","2","5,468","Yes","6,968","83","MCLN01"
"1","21757872","Active","SFD","6030 CROWS NEST Dr","4903","$3,750","5","3","2","Washington","NO SUBDIVISION","1","1HALF","ATTACH","2","3,751","Yes","5,025","37","REAB01"
"1","21754961","Active","SFD","4417 Primrose Ave","4903","$62,000","3","1","0","Ips","MAPLE DOWNS","0","2LEVL","OTHER","","1,040","Yes","1,760","7","JUDO01"
"1","21754759","Active","CND","910 PARK CENTRAL S DR Dr Unit#D","4903","$67,000","1","1","1","Washington","PARK HOOVER VILLAGE","0","1LEVL","NONE","","1,050","No","1,050","60","TUCK14"
"1","21750222","Active","SFD","420 W 39th St","4903","$105,000","2","1","0","Ips","H E & A PHELPS","0","1LEVL","NONE","","882","Yes","1,542","65","WYNK01"
"1","21757620","Active","SFD","1608 haynes Ave","4903","$145,500","2","1","0","Washington","RAVENSWOOD","0","1LEVL","NONE","","1,102","No","1,102","39","ELRG01"
"1","21756474","Active","SFD","4237 N RALSTON","4903","$149,900","2","1","0","Ips","MONTROSE","0","1HALF","NONE","","1,568","Yes","1,960","47","BOTA01"
"1","21753134","Active","SFD","6871 N Rural St","4903","$149,900","3","2","0","Washington","NO SUBDIVISION","0","1LEVL","ATTACH","2","1,025","No","1,025","7","KWIN05"
"1","21757097","Active","SFD","608 Bernard Ave","4903","$157,500","3","2","0","Ips","CULVER RIGGS & LYNNS","0","1LEVL","NONE","","1,056","No","1,056","42","MTCR01"
"1","21757464","Active","SFD","4535 Crittenden Ave","4903","$169,900","2","1","0","Ips","MONTROSE","0","1LEVL","DETATCH","1","715","Yes","1,430","40","KWIN02"
"1","21750325","Active","SFD","4422 Ralston Ave","4903","$172,000","3","1","0","Ips","MAPLE DOWNS","0","2LEVL","NONE","","1,440","Yes","2,160","72","SLRG01"
"1","21754410","Active","SFD","5088 Crittenden Ave","4903","$172,900","2","1","0","Ips","BELLAIRE","1","1LEVL","NONE","","960","Yes","1,680","-23","EZST01"
"1","21752235","Active","SFD","4935 N Indianola Ave","4903","$175,000","2","1","0","Ips","MAYFAIR","0","1LEVL","NONE","","648","Yes","1,296","69","TUCK10"
"1","21754325","Active","SFD","5062 Evanston Ave","4903","$179,900","2","1","0","Ips","BELLAIRE","0","1LEVL","DETATCH","1","837","Yes","1,674","67","KWIN04"
"1","21752033","Active","CND","9574 Cadbury Cir Unit#36","4903","$179,900","2","2","0","Washington","HOMESTEAD LAKES","1","1LEVL","ATTACH","2","1,442","No","1,442","67","EVRR01"
"1","21754230","Active","SFD","250 W 42ND St","4903","$185,000","3","1","1","Ips","BOSSONS SENATE AVE","1","2LEVL","NONE","","1,550","Yes","2,096","66","HNZR01"
"1","21752232","Active","SFD","4914 Evanston Ave","4903","$185,000","2","1","1","Ips","BELLAIRE","0","1LEVL","DETATCH","2","960","Yes","1,878","69","TUCK10"
"1","21755115","Active","SFD","5616 Victoria Dr","4903","$189,900","3","2","0","Washington","ENRIGHT'S","0","1LEVL","DETATCH","2","1,888","No","1,888","37","ALAC01"
"1","21751377","Active","CND","2217 Colfax Ln","4903","$189,900","3","2","1","Washington","TOWNE PARK","0","2LEVL","ATTACH","2","1,423","No","1,423","76","ATLA01"
"1","21756844","Active","SFD","4050 W Kessler Blvd N Dr","4903","$198,500","3","3","0","Washington","ARBORDALE HIGHLANDS","1","1LEVL","ATTACH","2","1,512","Yes","3,024","41","KWIN05"
"1","21758505","Active","SFD","7650 N Gale St","4903","$225,000","3","2","0","Washington","MENDENHALLS PLEASANT ACRES","1","1LEVL","ATTACH","2","1,527","No","1,527","25","CARP03"
"1","21758414","Active","CND","4000 N Meridian St Unit#7A","4903","$225,000","1","1","0","Ips","TARKINGTON TOWER","0","1LEVL","ATTACH","1","1,000","No","1,000","26","TUCK14"
"1","21752146","Active","SFD","8659 Meridian Square Dr","4903","$239,900","3","3","1","Washington","TOWNHOMES AT MERIDIAN SQUARE","1","3LEVL","ATTACH","2","1,824","Yes","2,736","68","KWIN01"
"1","21758479","Active","CND","7608 NEWPORT BAY Dr","4903","$264,999","3","2","0","Washington","NEWPORT BAY","1","1LEVL","ATTACH","2","1,984","No","1,984","26","REMD01"
"1","21750600","Active","SFD","9450 N Park Ave","4903","$275,000","2","1","1","Washington","COLLEGE CREST","1","2LEVL","DETATCH,OTHER,TANDM","4+","2,152","No","2,152","69","BHHS01"
"1","21756933","Active","SFD","4520 CHERRY Ln","4903","$283,900","4","2","1","Washington","WYNNEDALE","1","1LEVL","ATTACH","2","2,184","Yes","2,989","33","EXPL01"
"1","21751459","Active","SFD","4547 Evanston Ave","4903","$284,890","3","1","1","Ips","MONTROSE","0","2LEVL","OTHER","","1,320","Yes","1,980","66","URE 01"
"1","21757614","Active","CND","8360 Seabridge Way","4903","$295,000","3","2","1","Washington","LAKES AT THE CROSSING","1","2LEVL","ATTACH","2","2,023","No","2,023","38","URE 01"
"1","21758638","Active","CND","1059 Carters Grv","4903","$297,500","3","3","0","Washington","THE OVERLOOK AT WILLIAMS CREEK","2","1LEVL","ATTACH","2","1,480","Yes","2,960","26","EXPL01"
"1","21751216","Active","SFD","1515 E 69th St","4903","$299,000","3","3","0","Washington","NO SUBDIVISION","0","3LEVL","DETATCH","2","2,216","Yes","3,324","76","CARP14"
"1","21757080","Active","SFD","3920 N Kenwood Ave","4903","$299,900","3","3","0","Ips","BUTLER TARKINGTON","1","2LEVL","DETATCH","2","1,992","Yes","2,850","44","URE 01"
"1","21754488","Active","SFD","5851 Haverford Ave","4903","$300,000","3","2","0","Ips","MAPLE LAWN","1","1HALF","ATTACH","2","2,061","Yes","2,548","65","BALD01"
"1","21756880","Active","SFD","1011 Stallion Ct","4903","$300,994","3","2","0","Washington","GRANDVIEW PARK","0","1LEVL","ATTACH","2","1,719","No","1,719","45","HMSR01"
"1","21756316","Active","SFD","1019 Stallion Ct","4903","$301,133","2","2","0","Washington","GRANDVIEW PARK","0","1LEVL","ATTACH","2","1,730","No","1,730","48","HMSR01"
"1","21756866","Active","SFD","1021 Stallion Ct","4903","$301,427","2","2","0","Washington","GRANDVIEW PARK","0","1LEVL","ATTACH","2","1,719","No","1,719","45","HMSR01"
"1","21752831","Active","SFD","1701 Kessler Blvd E Dr","4903","$312,950","3","2","0","Ips","NORTHDALE","1","1LEVL","DETATCH","2","1,614","No","1,614","64","TUCK31"
"1","21756554","Active","SFD","6335 Filly Cir","4903","$314,900","3","2","0","Washington","GRANDVIEW PARK","0","1LEVL","ATTACH","2","1,757","No","1,757","47","HMSR01"
"1","21756843","Active","SFD","5269 N Park Ave","4903","$315,000","3","1","1","Ips","CLEGGS","1","2LEVL","NONE","","1,660","Yes","2,362","45","KWIN05"
"1","21755232","Active","SFD","4026 Ruckle St","4903","$315,000","3","2","0","Ips","NORTHERN HEIGHTS","1","2LEVL","NONE","","1,502","Yes","2,204","56","TRBL01"
"1","21756889","Active","SFD","1013 Stallion Ct","4903","$321,876","3","2","0","Washington","GRANDVIEW PARK","0","1LEVL","ATTACH","2","1,946","No","1,946","45","HMSR01"
"1","21755575","Active","SFD","4007 Carrollton Ave","4903","$324,900","3","2","1","Ips","NO SUBDIVISION","1","2LEVL","DETATCH","2","1,965","Yes","2,913","54","PDIG01"
"1","21756486","Active","SFD","28 E 40th St","4903","$334,900","3","2","0","Ips","MARTINDALE & COS","1","2LEVL","DETATCH","1","1,728","Yes","2,592","47","RMAC01"
"1","21753079","Active","SFD","5750 N College Ave","4903","$339,000","3","2","0","Ips","BROADWAY TERRACE","1","2LEVL","ATTACH","2","1,555","Yes","2,266","66","PLCL01"
"1","21757248","Active","SFD","8690 WESTFIELD Blvd","4903","$339,900","3","2","0","Washington","NO SUBDIVISION","1","1LEVL","ATTACH","2","1,799","Yes","3,598","39","TUCK14"
"1","21758529","Active","SFD","5849 Crittenden Ave","4903","$345,000","4","2","0","Washington","NORTHDALE","1","2LEVL","DETATCH","2","2,184","Yes","2,925","27","CLBK01"
"1","21755427","Active","SFD","5428 BROADWAY St","4903","$375,000","3","2","0","Ips","LIGHT'S BELLEVUE","1","2LEVL","DETATCH","1","1,442","Yes","2,664","53","LIRE01"
"1","21758755","Active","SFD","5881 Central Ave","4903","$399,900","3","1","1","Ips","MUELLERS CENTRAL","1","1HALF","DETATCH","2","1,800","Yes","2,900","24","RMAC01"
