MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21757458,,Residential,Single Fam,,700,Robbin Edwards,,215000,195000,2020-12-16,,,
21755918,,Residential,Single Fam,,Whitestown Parkway,Stan Comer,,300000,300000,2020-12-04,,,
21752886,,Residential,Single Fam,,Farlin,Marie Edwards,,391623,391624,2020-11-17,,,
21754272,,Residential,Single Fam,,Farlin,Marie Edwards,,406033,406033,2020-11-19,,,
21757135,,Residential,Single Fam,,Peggy,Vern Carter,,424900,424900,2020-12-12,,,
21746285,,Residential,Single Fam,,Upper Garden,Kristen Cambridge,,434205,437205,2020-10-16,,,
21752109,,Residential,Single Fam,,Century Oaks,Pamela E Aguirre,,500000,440000,2020-11-13,,,
21743168,,Residential,Single Fam,,Jons Station,Gary Swift,,470000,470000,2020-09-30,,,
21721406,,Residential,Single Fam,,Lower Garden,Kristen Cambridge,,456717,475717,2020-06-26,,,
21746351,,Residential,Single Fam,,Lower Garden,Kristen Cambridge,,480053,483053,2020-10-19,,,
21756266,,Residential,Single Fam,,Laurel,Dennis Barrow,,498000,498000,2020-12-11,,,
21743473,,Residential,Single Fam,,Inglenook,Kristen Cambridge,,503601,506601,2020-10-01,,,
21756304,,Residential,Condo,,Cypress,Stacy Snively,,512000,512000,2020-12-09,,,
21742577,,Residential,Single Fam,,Poplar,Laura Heigl,Sydney Tilford,570000,550000,2020-09-30,,,
21744385,,Residential,Single Fam,,Oakley,Scott A. Lindsay,,618370,618370,2020-10-06,,,
21757728,,Residential,Single Fam,,550,Julie Cromer,,649000,649000,2020-12-29,,,
21750505,,Residential,Single Fam,,Willow Bend,Scott A. Wolfe,,649900,649900,2020-11-03,,,
21718571,,Residential,Single Fam,,Ash,Leslie Cortopassi,Arta Xhako,899000,750000,2020-06-12,,,
21740525,,Residential,Single Fam,,Austin Oaks,Fred Krawczyk,,989900,879900,2020-09-21,,,
21743132,,Residential,Single Fam,,800 E,Sheri R. Putman,Angela Battisti,1050000,999000,2020-10-06,,,
21729419,,Residential,Single Fam,,Ford,Gary Angstadt,,1800000,1800000,2020-08-03,,,
21732044,,Residential,Single Fam,,Wellington,Tracy Wright,Thomas Wright,1875000,1875000,2020-08-20,,,
21756169,,Residential,Single Fam,,96th,Michael Hillard Kosene,,3650000,3650000,2020-12-07,,,
21695873,,Residential,Single Fam,,Lost Run,Jeff Carroll,,4250000,4250000,2020-06-12,,,
21743858,,Residential,Single Fam,,Indianapolis,Debbie McMillan,Michael L. Coates,199000,199000,2020-10-20,,,
21725494,,Residential,Single Fam,,475,Sherri Bryant,,1350000,1350000,2020-07-17,,,
21756128,,Residential,Single Fam,,Homestead,Cassie V. Newman,,334610,338610,2020-12-04,,,
21752803,,Residential,Single Fam,,1100,David Cronnin,,425000,325000,2020-11-20,,,
21737974,,Residential,Single Fam,,Mallard,Maria Conde,,995000,970000,2020-09-20,,,
21757591,,Residential,Single Fam,,Eagles Nest,Carolyn Sanders,Alex R. Sanders,410000,405000,2020-12-18,,,
21737130,,Residential,Single Fam,,State Road 38,Judy Shelton,,499900,439900,2020-09-04,,,
21720501,,Residential,Single Fam,,E State Road 47,Jason Schwier,Jerold Schwier,1200000,1200000,2020-06-23,,,
21758098,,Residential,Single Fam,,250 N,Lana F. Detro,,75000,68000,2020-12-22,,,
21712597,,Residential,Single Fam,,WILLIAMS,Paul Clark,,134900,109999,2020-06-02,,,
21752698,,Residential,Single Fam,,Walnut,Adam Batts,,139900,124900,2020-11-16,,,
21745451,,Residential,Single Fam,,State Road 39,Stephanie Latham,,189900,174000,2020-10-11,,,
21740259,,Residential,Single Fam,,State Road 39,Rebecca Cronin,,303000,273000,2020-09-24,,,
21750335,,Residential,Single Fam,,Ulen,Lori Davis Smith,,779000,779000,2020-11-05,,,
21750450,,Residential,Single Fam,,Wall,Maria MacKinnon,,70000,70000,2020-11-19,,,
21754295,,Residential,Single Fam,,Wall,Maria MacKinnon,,75500,75500,2020-11-30,,,
21754297,,Residential,Single Fam,,Wall,Maria MacKinnon,,99000,99000,2020-11-30,,,
21754286,,Residential,Single Fam,,Main,Maria MacKinnon,,104000,104000,2020-11-30,,,
21724596,,Residential,Single Fam,,Wall,Maria MacKinnon,,250000,250000,2020-07-14,,,
21750296,,Residential,Single Fam,,1050,Donald A. Kohler,,350000,350000,2020-11-03,,,
21731971,,Residential,Single Fam,,Victor,Joseph Alexander,,699900,685000,2020-09-08,,,
21750449,,Residential,Single Fam,,275 West,Rodney Richardson,Ryan Richardson,998800,998800,2020-11-06,,,
21751497,,Residential,Single Fam,,Lexington,Laura H. Heigl,Sydney Tilford,220000,220000,2020-12-17,,Keller Williams Indy Metro W,Jonathan Randolph
21757469,,Residential,Single Fam,,Crowley,Bob Chambers,,272000,275000,2020-12-16,,CENTURY 21 Scheetz,Laura Heigl
21745186,,Residential,Single Fam,,Andrews,Kevin Fish,,369900,279500,2020-10-10,,"Secure Home Estate, LLC",Yun She
21754326,,Residential,Single Fam,,Saddletree,Donald A. Kohler,,310000,305000,2020-11-19,,NextHome Connection,Paula Henry
21744416,,Residential,Condo,,Yorkshire,Denise Fiore,Katie Hintz,314190,309995,2020-10-07,,Highgarden Real Estate,Petra Pavlic
21743376,,Residential,Condo,,Yorkshire,Denise Fiore,Katie Hintz,314190,314190,2020-10-05,,"Secure Home Estate, LLC",Yun She
21750872,,Residential,Condo,,Yorkshire,Denise Fiore,Katie Hintz,317190,317190,2020-11-06,,"Carpenter, REALTORS®",Jennifer Blandford
21750856,,Residential,Condo,,Yorkshire,Denise Fiore,Katie Hintz,317190,317190,2020-11-06,,F.C. Tucker Company,Diane Brooks
21756776,,Residential,Condo,,Brunswick,Denise Fiore,Katie Hintz,320190,320190,2020-12-11,,CENTURY 21 Scheetz,Sally Kohn
21736725,,Residential,Single Fam,,SUGAR MAPLE,G. Rita Spidel,,355000,324900,2020-09-03,,F.C. Tucker Company,Jeff Schafer
21750868,,Residential,Condo,,Yorkshire,Denise Fiore,Katie Hintz,324995,324995,2020-11-06,,Non-BLC Office,Unknown Non-BLC Member
21738465,,Residential,Condo,,Yorkshire,Denise Fiore,Katie Hintz,328090,328090,2020-09-11,,"Carpenter, REALTORS®",Megan Deck
21746692,,Residential,Single Fam,,Crowley,Michael McCooey,Darcy Miller,334900,330000,2020-10-29,,Berkshire Hathaway Home,Timothy O'Connor
21757172,,Residential,Single Fam,,EAGLE LAKE,Todd Ferris,,339900,339900,2020-12-17,,Keller Williams Indy Metro S,James Fox
21750863,,Residential,Condo,,Yorkshire,Denise Fiore,Katie Hintz,341090,341090,2020-11-06,,Non-BLC Office,Unknown Non-BLC Member
21738459,,Residential,Condo,,Yorkshire,Denise Fiore,Katie Hintz,345990,345990,2020-09-11,,"Carpenter, REALTORS®",Megan Deck
21736979,,Residential,Single Fam,,Raintree,Fred Krawczyk,Dawn T. Jones-Krawczyk,350000,350000,2020-09-04,,Keller Williams Indy Metro NE,Staci M. Woods
21756238,,Residential,Single Fam,,Aldridge,LaToya D. Dix,,355000,355000,2020-12-08,,RE/MAX Legends Group,Marcus Jess
21750854,,Residential,Condo,,Yorkshire,Denise Fiore,Katie Hintz,360190,360190,2020-11-06,,F.C. Tucker Company,Susan J McDonald
21750888,,Residential,Condo,,Yorkshire,Denise Fiore,Katie Hintz,373990,373990,2020-11-06,,F.C. Tucker Company,Diane Brooks
21751528,,Residential,Single Fam,,Farlin,Marie Edwards,,376289,375364,2020-11-10,,Non-BLC Office,Non-BLC Member
21756504,,Residential,Condo,,Manchester,Tod Trafelet,Jeremy Long,380000,380000,2020-12-18,,F.C. Tucker Company,Diane Brooks
21752989,,Residential,Single Fam,,Andrews,Jimmy Dulin,,380000,380000,2020-11-19,,RE/MAX Legends Group,Pamela E Aguirre
21746891,,Residential,Single Fam,,Bayberry,John O'Brien,Mary Jane O'Brien,385000,385000,2020-10-26,,Encore Sotheby's International,Jaclyn Cleveland
21753126,,Residential,Single Fam,,Peggy,Stefan Bean,,419900,414900,2020-11-19,,RE/MAX Ability Plus,Natasha Radovich
21757592,,Residential,Single Fam,,Shaldon,Erika Frantz,Ashlea A. Stone,368650,419055,2020-12-16,,Non-BLC Office,Unknown Non-BLC Member
21747094,,Residential,Single Fam,,Peggy,Erika Frantz,,439990,439990,2020-10-21,,Homesmart Realty Group,Holly Rehberg
21750392,,Residential,Single Fam,,Morningside,Megan Deck,,484500,484500,2020-11-03,,RE/MAX Ability Plus,Jonathan Evens
21754183,,Residential,Single Fam,,Carnegie,Erika Frantz,Ashlea A. Stone,499990,499990,2020-11-19,,RE/MAX Legends Group,Jennifer Brown
21755471,,Residential,Single Fam,,Staten,Bob Hicks Jr,,510000,510000,2020-12-01,,Encore Sotheby's International,Robbin Edwards
21749914,,Residential,Single Fam,,English,Mitch Rolsky,,525000,515000,2020-11-05,,Berkshire Hathaway Home,Christopher B. Fahy
21674460,,Residential,Single Fam,,Upper Garden,Kristen Cambridge,,425096,544985,2019-10-10,,Plat Collective,Kristen Cambridge
21740943,,Residential,Single Fam,,Bayberry,Nicole Lyon,,589000,579000,2020-10-02,,CENTURY 21 Rasmussen Company,Larry Rasmussen
21758312,,Residential,Single Fam,,Cobblestone,Lauren Masur,,600000,600000,2020-12-24,,Kohler Realty,Donald A. Kohler
21738876,,Residential,Single Fam,,Oakley,Scott A. Lindsay,,594775,610775,2020-09-15,,F.C. Tucker Company,Stacy L. Mack
21737771,,Residential,Single Fam,,Conifer,Richard Costello,,734900,724900,2020-09-09,,CENTURY 21 Scheetz,Gary Angstadt
21755492,,Residential,Single Fam,,Canopy,Shannon Garner,,730000,730000,2020-12-11,,Trueblood Real Estate,Hayley Wild
21756442,,Residential,Single Fam,,775 East,Kim Lewis,,750000,750000,2020-12-17,,Non-BLC Office,Unknown Non-BLC Member
21737516,,Residential,Single Fam,,Olde Well,Justin Steill,Stacey T. Willis,1118624,1118624,2020-09-17,,Berkshire Hathaway Home,Justin Steill
21752425,,Residential,Single Fam,,State Road 267,Dennis Gladden,,149000,149000,2020-11-15,,RE/MAX At The Crossing,Michelle R. Butts
21756892,,Residential,Single Fam,,Weeping Willow,Darcy Knott,,205000,205000,2020-12-17,,F.C. Tucker Company,MiKaela Pennington
21758255,,Residential,Single Fam,,Colonial,David Harting,Elizabeth R. Harting,221000,221000,2020-12-23,,F.C. Tucker Company,Darcy Miller
21757993,,Residential,Single Fam,,Indigo Blue,Jennifer L. Overett,,245000,245000,2020-12-21,,Berkshire Hathaway Home,Timothy O'Connor
21758332,,Residential,Single Fam,,Weeping Willow,Ashley Patterson,,265000,265000,2020-12-24,,"2.0 Brokerage, LLC",Noah Bradtke - Litwack
21756420,,Residential,Single Fam,,Green Willow,Bret Reinhardt,,309000,299900,2020-12-08,,Homewise Realty LLC,Joseph C. Gray
21756188,,Residential,Single Fam,,Homestead,Cassie V. Newman,,306350,306350,2020-12-05,,D. Braun & Company,Glenda Stauske
21748887,,Residential,Single Fam,,High Grove,Nicholas J. Laviolette,Sondra Laviolette,675000,675000,2020-11-19,,Keller Williams Indpls Metro N,Cindy Cherf
21696765,,Residential,Single Fam,,1200,Nicholas Laviolette,Sondra Laviolette,1200000,1100000,2020-04-01,,Highgarden Real Estate,Jerry Hanna
21681557,,Residential,Single Fam,,250,Craig Kaiser,Amanda Edwards,1625000,1475000,2019-11-15,,CENTURY 21 Scheetz,Kim Lewis
21755140,,Residential,Single Fam,,650,Wanda Lyons,,349900,320000,2020-11-27,,Keller Williams Zionsville,David Harting
21757446,,Residential,Single Fam,,Green,Dale G. Smith,,114000,114000,2020-12-15,,F.C. Tucker Company,Mathew MacDonald
21755453,,Residential,Single Fam,,PEARL,Tad D. Braner,,135000,135000,2020-12-06,,RE/MAX Ability Plus,Tad D. Braner
21738657,,Residential,Single Fam,,North,Julie Gleb,,130000,135000,2020-09-13,,"The Tinsley Team, LLC",Phillip Tinsley
21757484,,Residential,Single Fam,,East,Lynda Lambert,John W. Bradley,139900,139900,2020-12-16,,"Carpenter, REALTORS®",Anita K. Kratochvil
21755770,,Residential,Single Fam,,Ashley,Heather R. Schaller,,145000,145000,2020-12-06,,Berkshire Hathaway Home,Joseph Alexander
21754820,,Residential,Single Fam,,WALNUT,Gabrielle O'Connor,,160000,160000,2020-11-30,,RE/MAX Ability Plus,Heather R. Schaller
21755632,,Residential,Single Fam,,Citation,Sandra J. Busald,,170000,170000,2020-12-21,,RE/MAX Ability Plus,Herbert Rice
21755113,,Residential,Single Fam,,SYRACUSE,Heather Hemphill,,194000,179500,2020-11-27,,Plat Collective,Christopher Chaulk
