MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21745864,,Residential,Condo,,HUNTERS DR E,Lisa Moos,Justin Steill,174400,159900,2020-10-14,,,
21755746,,Residential,Condo,,Hunters,Lori Shanahan,Carrie Holle,165000,165000,2020-12-05,,,
21750402,,Residential,Condo,,Hunters,Elizabeth A. Michael,,172000,169000,2020-11-06,,,
21743878,,Residential,Condo,,University,Joseph Kempler,,185000,169800,2020-10-03,,,
21748791,,Residential,Condo,,Filson,James D. Brooks,,345000,328000,2020-11-03,,,
21756618,,Residential,Condo,,Park Trail S Dr,Michael Mercho,,329900,329900,2020-12-09,,,
21751765,,Residential,Single Fam,,Rangeline,Shelly Walters,,350000,339900,2020-11-13,,,
21755304,,Residential,Single Fam,,Downing,Jim L. Finefrock II,,364900,349000,2020-11-30,,,
21750772,,Residential,Single Fam,,Windy Knoll,Peter Stewart,,369900,369900,2020-11-09,,,
21755171,,Residential,Single Fam,,CEDAR POINT,Shariq Husain,,375000,375000,2020-12-01,,,
21750248,,Residential,Single Fam,,Community,Jeffrey Unruh,,409990,409990,2020-11-03,,,
21740032,,Residential,Single Fam,,Opus,"Guangsheng ""Michael"" Yang",,459000,449000,2020-09-20,,,
21756007,,Residential,Single Fam,,Delmont,Christopher Schrader,,517500,517500,2020-12-04,,,
21757916,,Residential,Condo,,Executive,Michael A. Stone,,570000,570000,2020-12-19,,,
21746397,,Residential,Single Fam,,Branford,Joseph Kempler,,595000,595000,2020-10-16,,,
21738520,,Residential,Single Fam,,Laura Vista,Stephen Schutz,,599900,599900,2020-09-11,,,
21749510,,Residential,Single Fam,,Eden Estates,Craig Olney,,650000,650000,2020-10-29,,,
21746303,,Residential,Single Fam,,Summerlakes,Keith Albrecht,,715000,685000,2020-10-16,,,
21756119,,Residential,Single Fam,,Kings,Bif Ward,Casley Ward Lewis,749900,725000,2020-12-18,,,
21732757,,Residential,Single Fam,,Temple,Mike Scheetz,Melanie R. Scheetz,799999,799999,2020-08-19,,,
21753062,,Residential,Single Fam,,Auman,Christopher C. Schrader,,835745,835745,2020-11-18,,,
21751252,,Residential,Single Fam,,Ams,Blake Cardenas,,915000,870000,2020-12-01,,,
21746620,,Residential,Single Fam,,Silver Oaks,Sue R. Lerchen,,915000,915000,2020-10-19,,,
21752415,,Residential,Single Fam,,3rd,Joshua Vida,,919000,919000,2020-11-14,,,
21734339,,Residential,Single Fam,,Silver Oaks,Sue Lerchen,,930000,930000,2020-08-21,,,
21728236,,Residential,Single Fam,,Milford,Larry Rasmussen,,1295000,1100000,2020-08-19,,,
21748506,,Residential,Single Fam,,High Grove,Denise Fiore,Katie Hintz,1190000,1150000,2020-10-29,,,
21731541,,Residential,Single Fam,,Skytag,Jason Kraus,Bryan Sparks,1299000,1249000,2020-08-14,,,
21754507,,Residential,Single Fam,,MAIN,Jennil Salazar,,1250000,1250000,2020-11-20,,,
21734270,,Residential,Single Fam,,Suffolk,Gregg Boyd,,1465000,1285000,2020-08-22,,,
21735063,,Residential,Single Fam,,141st,Traci Garontakos,,1325000,1325000,2020-09-11,,,
21730346,,Residential,Single Fam,,Treesdale,Bif Ward,,1549900,1419500,2020-08-10,,,
21756117,,Residential,Single Fam,,Sherbern,Gregory Mohr,,1599900,1599900,2020-12-04,,,
21749081,,Residential,Single Fam,,Spring Mill,Mark G. Hartman,Craig Kaiser,1925000,1925000,2020-10-27,,,
21743505,,Residential,Single Fam,,116th,Greg Cooper,,5750000,6250000,2020-09-30,,,
21755857,,Residential,Single Fam,,Stunner Pass,Marie Edwards,,273900,273900,2020-12-03,,,
21755827,,Residential,Single Fam,,Treasure Creek,Marie Edwards,,273900,273900,2020-12-03,,,
21755848,,Residential,Single Fam,,Glacier Ridge,Marie Edwards,,266900,274655,2020-12-03,,,
21755756,,Residential,Single Fam,,Summit Peak,Marie Edwards,,266900,274655,2020-12-02,,,
21755820,,Residential,Single Fam,,Treasure Creek,Marie Edwards,,277900,277900,2020-12-03,,,
21752108,,Residential,Single Fam,,Stunner Pass,Marie Edwards,,270900,279090,2020-11-30,,,
21755845,,Residential,Single Fam,,Glacier Ridge,Marie Edwards,,271900,279655,2020-12-03,,,
21755839,,Residential,Single Fam,,Stunner Pass,Marie Edwards,,273900,281655,2020-12-03,,,
21755847,,Residential,Single Fam,,Stunner Pass,Marie Edwards,,274900,282655,2020-12-03,,,
21755737,,Residential,Single Fam,,Summit Peak,Marie Edwards,,285900,285900,2020-12-02,,,
21755774,,Residential,Single Fam,,Glacier Ridge,Marie Edwards,,286900,286900,2020-12-02,,,
21755835,,Residential,Single Fam,,Glacier Ridge,Marie Edwards,,288900,288900,2020-12-03,,,
21755742,,Residential,Single Fam,,Stunner Pass,Marie Edwards,,288900,288900,2020-12-02,,,
21755715,,Residential,Single Fam,,Stunner Pass,Marie Edwards,,290900,290900,2020-12-02,,,
21755813,,Residential,Single Fam,,Treasure Creek,Marie Edwards,,291900,291900,2020-12-03,,,
21755735,,Residential,Single Fam,,Treasure Creek,Marie Edwards,,291900,291900,2020-12-02,,,
21755744,,Residential,Single Fam,,Summit Peak,Marie Edwards,,292900,292900,2020-12-02,,,
21755826,,Residential,Single Fam,,Glacier Ridge,Marie Edwards,,293900,293900,2020-12-03,,,
21755810,,Residential,Single Fam,,Treasure Creek,Marie Edwards,,293900,293900,2020-12-03,,,
21755828,,Residential,Single Fam,,Stunner Pass,Marie Edwards,,294900,294900,2020-12-03,,,
21752041,,Residential,Single Fam,,Stunner Pass,Marie Edwards,,294900,294900,2020-11-30,,,
21755725,,Residential,Single Fam,,Stunner Pass,Marie Edwards,,295900,295900,2020-12-02,,,
21755899,,Residential,Single Fam,,Summit Peak,Marie Edwards,,296900,296900,2020-12-03,,,
21755816,,Residential,Single Fam,,Treasure Creek,Marie Edwards,,299900,299900,2020-12-03,,,
21756332,,Residential,Single Fam,,Glacier Ridge,Marie Edwards,,319900,319900,2020-12-07,,,
21756327,,Residential,Single Fam,,Glacier Ridge,Marie Edwards,,327900,327900,2020-12-07,,,
21756301,,Residential,Single Fam,,Glacier Ridge,Marie Edwards,,351900,351900,2020-12-07,,,
21756322,,Residential,Single Fam,,Glacier Ridge,Marie Edwards,,352900,352900,2020-12-07,,,
21756319,,Residential,Single Fam,,Glacier Ridge,Marie Edwards,,352900,352900,2020-12-07,,,
21755894,,Residential,Single Fam,,Treasure Creek,Marie Edwards,,352900,352900,2020-12-03,,,
21756293,,Residential,Single Fam,,Treasure Creek,Marie Edwards,,363900,363900,2020-12-07,,,
21756295,,Residential,Single Fam,,Treasure Creek,Marie Edwards,,375900,375900,2020-12-07,,,
21755724,,Residential,Single Fam,,Treasure Creek,Marie Edwards,,384900,384900,2020-12-02,,,
21756290,,Residential,Single Fam,,Treasure Creek,Marie Edwards,,389900,389900,2020-12-07,,,
21734443,,Residential,Single Fam,,South,Evelyn Harris,,495000,495000,2020-08-23,,,
21749456,,Residential,Single Fam,,Branham,Michael Bounds,,283000,273000,2020-11-01,,,
21757749,,Residential,Condo,,Saxony,Alicia Buckley,,299995,299995,2020-12-19,,,
21755862,,Residential,Single Fam,,136th,Phil Ludlow,,325000,325000,2020-12-01,,,
21755481,,Residential,Single Fam,,Malta,Cassie V. Newman,,384270,384270,2020-12-01,,,
21754528,,Residential,Single Fam,,Overview,Anthony Robinson,,415000,399900,2020-11-21,,,
21752070,,Residential,Single Fam,,Anees,Larry Rasmussen,,401555,401555,2020-11-13,,,
21745373,,Residential,Single Fam,,Glen Ridge,Bif Ward,Megan Dusing,449500,424900,2020-10-12,,,
21755704,,Residential,Single Fam,,HORIZON,Maurice Brown,Jennifer B. Shopp,425000,425000,2020-12-04,,,
21756821,,Residential,Single Fam,,Prominence,Jacqueline Graham,,426570,426570,2020-12-11,,,
21756017,,Residential,Single Fam,,Dominion,Penny L. Dunn,,432490,432490,2020-12-07,,,
21744633,,Residential,Single Fam,,Tiago,Larry Rasmussen,,439335,433335,2020-10-07,,,
21756050,,Residential,Single Fam,,Springtide,Jacqueline Graham,,438365,438365,2020-12-04,,,
21744445,,Residential,Single Fam,,Whelchel,Jacqueline B. Graham,,447850,447850,2020-10-07,,,
21745506,,Residential,Single Fam,,Towpath,Angela M. Huser,,445672,456504,2020-10-12,,,
21757729,,Residential,Single Fam,,Drayton,Penny L. Dunn,,551265,551265,2020-12-17,,,
21757739,,Residential,Single Fam,,Drayton,Penny L. Dunn,,555270,555270,2020-12-17,,,
21758144,,Residential,Single Fam,,Madison Brooks,LaToya D. Dix,,539000,559000,2020-12-24,,,
21740838,,Residential,Single Fam,,Soaring Eagle,Elizabeth Babcock,,575000,564999,2020-09-25,,,
21748962,,Residential,Single Fam,,Deer Run Circle,Joel Newman,,579000,579000,2020-10-26,,,
21752001,,Residential,Single Fam,,ALLISTAIR,Meighan Wise,,625000,625000,2020-11-20,,,
21754896,,Residential,Single Fam,,Whispering Breeze,Marie Edwards,,640000,659000,2020-11-24,,,
21754599,,Residential,Single Fam,,Nightshore,Katie E. Malott,,679900,669900,2020-11-23,,,
21746493,,Residential,Single Fam,,STEEPLEVIEW,Deborah Schmitz,,765000,699900,2020-10-29,,,
