MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21751760,,Residential,Single Fam,,Michigan St,Joshua Martin,,285000,255000,2020-11-11,,,
21752880,,Residential,Single Fam,,Birmingham,Marie Edwards,,270729,270729,2020-11-17,,,
21755897,,Residential,Single Fam,,Laredo,Marie Edwards,,270849,270849,2020-12-03,,,
21757877,,Residential,Single Fam,,Birmingham,Marie Edwards,,285520,285520,2020-12-18,,,
21756566,,Residential,Single Fam,,Birmingham,Marie Edwards,,286460,286460,2020-12-08,,,
21735692,,Residential,Single Fam,,Mccarty,Elisabeth Lugar,Ethan Lugar,291434,291434,2020-08-28,,,
21744853,,Residential,Single Fam,,Birmingham,Marie Edwards,,294630,294630,2020-10-08,,,
21755901,,Residential,Single Fam,,Laredo,Marie Edwards,,299028,299028,2020-12-03,,,
21746854,,Residential,Single Fam,,Aberdeen,Marie Edwards,,299272,299272,2020-10-20,,,
21749772,,Residential,Single Fam,,Woodhammer,Marie Edwards,,313000,309000,2020-10-30,,,
21743541,,Residential,Single Fam,,Blackburn,Marie Edwards,,314367,309900,2020-09-30,,,
21746829,,Residential,Single Fam,,Aberdeen,Marie Edwards,,310460,310460,2020-10-20,,,
21748511,,Residential,Single Fam,,Beyers,Marie Edwards,,334885,334885,2020-10-23,,,
21749521,,Residential,Single Fam,,Cedar Chase,Marie Edwards,,343000,338000,2020-10-29,,,
21732958,,Residential,Single Fam,,Saundra,Frances Williams,,332490,344990,2020-08-19,,,
21750898,,Residential,Single Fam,,Chambers,Ann E. Williams,,358885,344995,2020-11-06,,,
21758247,,Residential,Single Fam,,Beyers,Marie Edwards,,346165,346165,2020-12-23,,,
21749329,,Residential,Single Fam,,Clearview,Eric Forney,Thomas Weaver,359900,349500,2020-11-05,,,
21756011,,Residential,Single Fam,,Ridgecrest,Ann E. Williams,,352675,352675,2020-12-04,,,
21746030,,Residential,Single Fam,,Blackburn,Marie Edwards,,365214,365214,2020-10-15,,,
21752010,,Residential,Single Fam,,Chambers,Ann E. Williams,,367185,367185,2020-11-13,,,
21754148,,Residential,Single Fam,,Ridgecrest,Ann E. Williams,,381370,381370,2020-11-20,,,
21757747,,Residential,Single Fam,,Ridgecrest,Ann E. Williams,,399165,399165,2020-12-17,,,
21756806,,Residential,Single Fam,,Ridgecrest,Ann E. Williams,,409865,409865,2020-12-11,,,
21755853,,Residential,Single Fam,,Main,Scott McGauley,,20000,18000,2020-12-02,,,
21758357,,Residential,Single Fam,,State Road 109,Jeffery Welch,,359900,359900,2020-12-26,,,
21752164,,Residential,Single Fam,,US 40,Rita L. Dodd,,799000,749000,2020-11-16,,,
21743222,,Residential,Single Fam,,Downey,Marie Edwards,,234900,229900,2020-09-30,,,
21743413,,Residential,Single Fam,,Downey,Marie Edwards,,238900,238900,2020-09-30,,,
21745176,,Residential,Condo,,Walnut,Mark Dudley,,295000,274900,2020-10-08,,,
21753128,,Residential,Single Fam,,Hill,Brian R. Mason,,358900,349900,2020-11-18,,,
21757441,,Residential,Single Fam,,Sugar Hills,Randall Owen,,399900,379900,2020-12-15,,,
21749762,,Residential,Single Fam,,Gateway,Marie Edwards,,395000,395000,2020-10-30,,,
21745874,,Residential,Single Fam,,State,Lynette Wuethrich,,420000,399900,2020-10-20,,,
21732036,,Residential,Single Fam,,Shadow Creek,Mark Dudley,,694500,687500,2020-08-14,,,
21746526,,Residential,Single Fam,,Meadows,Tina C. Vandenbark,,209900,199000,2020-11-11,,,
21752594,,Residential,Single Fam,,100,Steven Russell Coston,,230000,265000,2020-11-16,,,
21752335,,Residential,Single Fam,,Sharon,Steven Russell Coston,,235,265000,2020-11-13,,,
21752810,,Residential,Single Fam,,Sunrise,Linda Cox,Diane Sheets,334500,334500,2020-11-17,,,
21750966,,Residential,Single Fam,,US Highway 52,Terry L. Michael,,224000,221900,2020-11-06,,,
21745906,,Residential,Single Fam,,Lillian,Kurt A. Simmons,,227107,225107,2020-10-14,,,
21745910,,Residential,Single Fam,,Windhaven,Nicholas Spegal,,295000,292550,2020-10-14,,,
21755537,,Residential,Single Fam,,Tradwell,Marie Edwards,,318081,318081,2020-11-30,,,
21745333,,Residential,Single Fam,,Southway,Shawn K. Goolsby,,334000,319900,2020-10-29,,,
21721140,,Residential,Single Fam,,Megan,Kurt Simmons,,330396,320052,2020-07-03,,,
21758297,,Residential,Single Fam,,Centennial,Paul Garner,,349000,339000,2020-12-26,,,
21755038,,Residential,Single Fam,,Hume,Marie Edwards,,346860,346860,2020-11-25,,,
21757543,,Residential,Single Fam,,Fox Den,Sarah O'Donnell,,679900,679900,2020-12-18,,,
21716921,,Residential,Single Fam,,Overlook,Timothy Yazel,,949000,949000,2020-06-16,,,
21757423,,Residential,Single Fam,,Crestview,Kyle Morris,,210000,210000,2020-12-17,,F.C. Tucker Company,Nicole M. Mattingly
21757370,,Residential,Single Fam,,Dickens,Mariah Ante,,235000,235000,2020-12-17,,LaBev Enterprise,Beverly Harney
21750281,,Residential,Single Fam,,White Tail,Chiquita Watkins,Katrina Matheis,255000,250000,2020-11-17,,F.C. Tucker Company,Sarah E. Black
