MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21684064,,Residential,Single Fam,,Ben Riley,Marie Edwards,,345512,314900,2019-11-26,,,
21632682,,Residential,Single Fam,,State Road 267,Dennis Nottingham,Stewart Duhamell,107500,107500,2019-04-18,2019-07-17,RE/MAX Advanced Realty,Danelle L. Martin
21679189,,Residential,Single Fam,,BURNS,Natalie Hightower,,135000,135000,2019-10-31,2020-04-30,F.C. Tucker Company,Terry Waggoner
21658170,,Residential,Condo,,Brittany,Michelle Steward,,147000,147000,2019-07-26,2019-12-25,Keller Williams Indy Metro NE,Michelle Steward
21633563,,Residential,Condo,,Muirfield,Stan Comer,,144000,144000,2019-04-17,2019-10-31,"Carpenter, REALTORS®",Stan Comer
21651239,,Residential,Single Fam,,Rose,Valerie K. Hoefling,,157900,157900,2019-06-28,2019-12-31,RE/MAX Performance,Kelly Wood
21665377,,Residential,Single Fam,,Kingston,Mark Highbaugh,,154900,154900,2019-09-14,2020-03-14,Integrity Real Estate,Tony Reffeitt
21652118,,Residential,Single Fam,,Audubon,Autumn Sojka,April Perry,170000,170000,2019-07-03,2019-12-02,"2.0 Brokerage, LLC",Noah Bradtke - Litwack
21655847,,Residential,Single Fam,,Muirfield,Pam Potoczek,Michael Potoczek,163900,163900,2019-07-26,2020-01-31,Keller Williams Indy Metro S,Paul S. Linn
21637610,,Residential,Single Fam,,Eastbranch,Ryan R. Hergott,Joy Hafner,159900,159900,2019-05-03,2019-10-31,Highgarden Real Estate,Sherri Bryant
21679008,,Residential,Single Fam,,AUBURN,Angela Mayner,,169900,169900,2019-10-31,2020-04-30,Keller Williams Indy Metro W,Matthew Reffeitt
21636144,,Residential,Single Fam,,Highland Lake,Carl Vargas,,185000,185000,2019-05-03,2019-11-03,RE/MAX Centerstone,Kelly L. Wood
21653880,,Residential,Single Fam,,Woodcote,Lynn Murray,,175000,175000,2019-07-11,2020-01-11,R&R Newell Real Estate PC,Ruth Newell
21646948,,Residential,Single Fam,,Brooks,Matthew Reffeitt,Trent J. Whittington,179900,179900,2019-06-13,2019-12-13,Elite Indy Realty Group,Cody Jenkins
21684191,,Residential,Single Fam,,West Branch,Non-BLC Member,,180000,180000,2019-12-13,2020-05-13,Keller Williams Indy Metro W,Christopher G. Price
21678947,,Residential,Single Fam,,Trails End,Shea L. Duymovic,,179900,179900,2019-11-01,2019-12-31,United Real Estate Indpls,Laurie B. Allen
21672966,,Residential,Single Fam,,Branches,Timothy Hardin,,192500,192500,2019-10-04,2020-04-04,F.C. Tucker Company,Craig Bowen
