MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21666772,,Residential,Single Fam,,Acorn,Jeffrey Paxson,Colleen M. Gordon,109000,109000,2019-08-01,,Keller Williams Indy Metro NE,Andrea B. Witka
21672627,,Residential,Single Fam,,Galaxy,Sheila Bowles,,125000,125000,2019-10-02,,Lady for Land Real Estate Serv,Sheila J. Bowles
21653501,,Residential,Single Fam,,Old Smith Valley,Eddie Rogers,,39900,39900,2019-06-24,2019-09-19,US Realty,Derek Morgan
21666894,,Residential,Single Fam,,TRESSLAR,Suzanne Roell-Carlson,Kathleen M. Roell,74900,74900,2019-09-08,2020-03-08,My Agent,Kyle Stuart
21642138,,Residential,Single Fam,,Hiatt,Penni D. Mayes,,87000,87000,2019-05-30,2019-08-16,"Sullivan Realty Group, LLC",Joseph M. Sullivan
21659748,,Residential,Single Fam,,Old Plank,Angela Hornsby,,85000,85000,2019-08-11,2020-02-10,CENTURY 21 Scheetz,Angie Bufkin
21645341,,Residential,Single Fam,,Welton,Dwayne Walters,,89250,89250,2019-06-06,2019-12-27,Custom Moves Real Estate Servi,Nichole Perkins
21671478,,Residential,Single Fam,,Creekwood,Deborah A. Argenta,,91000,91000,2019-09-26,2019-12-31,Keller Williams Indpls Metro N,Deborah A. Argenta
21685946,,Residential,Single Fam,,Village,Dale T. Field,,104900,104900,2019-12-12,2020-06-12,"Tomorrow Realty, Inc.",Dale T. Field
21623518,,Residential,Single Fam,,Peterman,Michael Patton,,127500,120000,2019-03-12,2019-08-04,"Cardinal, REALTORS?, LLC",Chris Hilligoss
21650628,,Residential,Single Fam,,Wagon,Jacob Hemrick,,112000,112000,2019-06-24,2019-12-31,Hemrick Property Group Inc.,Jacob Hemrick
21645856,,Residential,Single Fam,,Smith Valley,Debora E. Graham,,127000,127000,2019-06-07,2019-12-07,"Property Plus Realty, INC",Robert S. Heck
21679676,,Residential,Condo,,OAKHILL,Ron Rose,,120000,120000,2019-11-04,2019-12-31,"Indiana Realty Pros, Inc.",Ron Rose
21661181,,Residential,Single Fam,,Yorktown,Anabel Haviza,,155000,135000,2019-08-09,2020-02-07,Red Oak Real Estate Group,Jerry Zheng
