MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21732062,,Residential,Condo,,Potomac Square,LaTasha Stevenson,,130000,130000,2020-08-14,,,
21734409,,Residential,Single Fam,,SEDGE MEADOW,Joshua Baradaran-Dilmaghani,,869900,839900,2020-08-27,,,
21730974,,Residential,Single Fam,,Andre,James Stone,,895000,895000,2020-08-14,,,
21715582,,Residential,Condo,,Meridian,Rodney Heard,Jason Miller,174900,159000,2020-06-02,,,
21729240,,Residential,Single Fam,,40TH,Dave Ellis,,190000,164999,2020-07-31,,,
21732840,,Residential,Single Fam,,87th,Kimberly Carpenter,,240000,250000,2020-08-25,,,
21721278,,Residential,Single Fam,,Filly,Marie Edwards,,283313,274900,2020-06-25,,,
21731517,,Residential,Single Fam,,Stallion,Marie Edwards,,304860,291900,2020-08-12,,,
21731699,,Residential,Single Fam,,Stallion,Marie Edwards,,302672,292900,2020-08-13,,,
21720359,,Residential,Single Fam,,Stallion,Marie Edwards,,308512,299900,2020-06-22,,,
21729068,,Residential,Single Fam,,College,Samuel Henen,,319900,319900,2020-07-30,,,
21721636,,Residential,Single Fam,,Carrollton,Emily Humphrey,Danielle Maynard,365000,349900,2020-07-10,,,
21734885,,Residential,Single Fam,,Emerson Wa,Erica Suvak,,350000,350000,2020-08-25,,,
21728880,,Residential,Single Fam,,Carrollton,Erin Hundley,Christine Robbins,400000,385000,2020-08-06,,,
21729935,,Residential,Condo,,Page,Peter Stewart,,415000,409000,2020-08-05,,,
21732778,,Residential,Single Fam,,Heyward,Eric Reed,,499900,429900,2020-08-19,,,
21726167,,Residential,Condo,,PAGE,Michael Fisher,,479000,455000,2020-07-21,,,
21731916,,Residential,Condo,,PENN,Scott Armstrong,,479900,479900,2020-08-14,,,
21728064,,Residential,Condo,,MERIDIAN,Sue Wilson,,497900,492900,2020-08-01,,,
21728393,,Residential,Single Fam,,46th,Angela Young,,599900,565000,2020-07-29,,,
21729458,,Residential,Single Fam,,Heyward,Douglas Dale,,624900,589900,2020-08-08,,,
21726466,,Residential,Single Fam,,Pennsylvania,Brenda Mingee,,679900,635000,2020-07-24,,,
21735304,,Residential,Single Fam,,39TH,Sharon Cope,,750000,750000,2020-08-29,,,
21724031,,Residential,Single Fam,,75th,Cynthia Yosha-Snyder,Fran Lazerov,925000,795000,2020-07-10,,,
21735764,,Residential,Single Fam,,86th,Derek Gutting,,1980000,1980000,2020-08-28,,,
21726287,,Residential,Single Fam,,Ellery,Cynthia Yosha-Snyder,,2350000,2250000,2020-07-23,,,
21734690,,Residential,Single Fam,,Meridian,Matt McLaughlin,Joseph Cox,2650000,2549900,2020-08-28,,,
21731223,,Residential,Single Fam,,Sunset,Joe Everhart,Quinn Demaree,4500000,4500000,2020-08-12,,,
21732691,,Residential,Condo,,Stratford,Maxwell Richter,,8000,18000,2020-08-18,,,
21732659,,Residential,Condo,,Hampshire,Maxwell Richter,,11000,18000,2020-08-18,,,
21732654,,Residential,Condo,,Hampshire,Maxwell Richter,,11000,18000,2020-08-18,,,
21732652,,Residential,Condo,,Hampshire,Maxwell Richter,,12000,18000,2020-08-18,,,
21732639,,Residential,Condo,,Hampshire,Maxwell Richter,,12000,18000,2020-08-18,,,
21732627,,Residential,Condo,,Hampshire,Maxwell Richter,,13000,18000,2020-08-18,,,
21732434,,Residential,Condo,,Hampshire,Maxwell Richter,,11000,18000,2020-08-17,,,
21732429,,Residential,Condo,,Hampshire,Maxwell Richter,,11000,18000,2020-08-17,,,
21732428,,Residential,Condo,,Essex,Maxwell Richter,,12000,18000,2020-08-17,,,
21732427,,Residential,Condo,,Essex,Maxwell Richter,,19000,18000,2020-08-17,,,
21732424,,Residential,Condo,,Brentwood,Maxwell Richter,,15000,18000,2020-08-17,,,
21732422,,Residential,Condo,,Hampshire,Maxwell Richter,,14000,18000,2020-08-17,,,
21732397,,Residential,Condo,,Brentwood,Maxwell Richter,,17000,18000,2020-08-17,,,
21736504,,Residential,Single Fam,,Ritter,Janis Smith,,104900,104900,2020-08-31,,,
21735322,,Residential,Condo,,Chipwood,Glenn Bill,Steffenie Salzmann,229900,228900,2020-08-27,,,
21734182,,Residential,Single Fam,,Courageous,Sandra Ziraldo,Benjamin Fuller,576302,576302,2020-08-21,,,
21730475,,Residential,Single Fam,,Shortridge,Thomas Nguyen,Alexander Dang,160000,160000,2020-08-21,,,
21724742,,Residential,Single Fam,,Washington,Christi Coffey,Amanda C. Spicer,350000,299900,2020-07-18,,,
21728809,,Residential,Single Fam,,Twain,Marie Edwards,,247948,241900,2020-07-29,,,
21724697,,Residential,Single Fam,,Faulkner,Marie Edwards,,250833,244900,2020-07-14,,,
21728828,,Residential,Single Fam,,Twain,Marie Edwards,,260454,254900,2020-07-29,,,
21734131,,Residential,Single Fam,,Mystic View,Cassie Newman,,346449,354449,2020-08-20,,,
21731022,,Residential,Single Fam,,Cheever,Marie Edwards,,394157,384900,2020-08-10,,,
21716917,,Residential,Single Fam,,Sunset Ridge,Marie Edwards,,411000,416000,2020-06-09,,,
21734836,,Residential,Single Fam,,INDIAN CREEK S,Gino Sgro,,455000,455000,2020-08-24,,,
21732146,,Residential,Single Fam,,Stonebriar,Donald Kohler,,500000,490000,2020-08-16,,,
21728166,,Residential,Single Fam,,Post,David Baird,,499000,499000,2020-07-25,,,
21726431,,Residential,Single Fam,,Deerhurst,Brent Copenhaver,,559900,559900,2020-07-22,,,
21727664,,Residential,Single Fam,,Southeastern,David Baird,,750000,750000,2020-07-23,,,
21729505,,Residential,Single Fam,,Moss Ridge,Maria Gutierrez,,419900,419900,2020-08-03,,,
21725427,,Residential,Single Fam,,Lyons,Jeneene West,Gregg E. West,45000,45000,2020-07-21,,,
21729792,,Residential,Single Fam,,Beecher,Ivan Guillen,Brenda Gonzalez,89000,70000,2020-08-03,,,
