"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1","21757458","Active","SFD","5486 S 700 E","601","$195,000","3","1","0","Zionsville","NO SUBDIVISION","1","1LEVL","ATTACH","2","1,582","No","1,582","40","ECOR01"
"1","21755918","Active","SFD","7370 E Whitestown Parkway","601","$300,000","2","2","0","Zionsville","NO SUBDIVISION","0","1LEVL","DETATCH,MULTI","4+","1,112","Yes","1,390","52","CARP12"
"1","21752886","Active","SFD","6156 Farlin Dr","601","$391,624","3","2","1","Zionsville","WESTWOOD LANDING","1","1LEVL","ATTACH","3","2,893","No","2,893","69","HMSR01"
"1","21754272","Active","SFD","6088 Farlin Dr","601","$406,033","4","3","1","Zionsville","WESTWOOD LANDING","1","2LEVL","ATTACH","3","3,138","No","3,138","67","HMSR01"
"1","21757135","Active","SFD","8177 Peggy Ct","601","$424,900","4","2","1","Zionsville","HAMPSHIRE","1","2LEVL","ATTACH","3","3,115","No","3,115","44","FFRL01"
"1","21746285","Active","SFD","5708 Upper Garden Way","601","$437,205","2","2","0","Zionsville","Inglenook of Zionsville","1","1LEVL","ATTACH","2","1,215","Yes","2,430","101","PLCL01"
"1","21752109","Active","SFD","557 Century Oaks Dr","601","$440,000","4","2","1","Zionsville","CENTURY OAKS","2","2LEVL","ATTACH","2","1,848","Yes","3,696","60","REMD01"
"1","21743168","Active","SFD","6732 Jons Station","601","$470,000","3","2","1","Zionsville","STONEGATE","1","2LEVL","ATTACH","3","3,177","No","3,177","117","CESC01"
"1","21721406","Active","SFD","5729 Lower Garden Way","601","$475,717","3","2","1","Zionsville","Inglenook of Zionsville","1","2LEVL","ATTACH","2","1,802","Yes","2,876","213","PLCL01"
"1","21746351","Active","SFD","10472 Lower Garden Way","601","$483,053","3","2","1","Zionsville","Inglenook of Zionsville","1","2LEVL","ATTACH","2","1,900","Yes","3,000","98","PLCL01"
"1","21756266","Active","SFD","625 Laurel Ave","601","$498,000","3","2","1","Zionsville","NO SUBDIVISION","1","2LEVL","ATTACH","2","1,865","No","1,865","45","KWIN17"
"1","21743473","Active","SFD","5722 Inglenook Way","601","$506,601","3","2","1","Zionsville","Inglenook of Zionsville","1","2LEVL","ATTACH","2","1,915","Yes","3,182","116","PLCL01"
"1","21756304","Active","CND","1706 Cypress Dr","601","$512,000","2","2","0","Zionsville","THE COURTYARDS OF ZIONSVILLE","1","1LEVL","ATTACH","2","2,148","No","2,148","47","KWIN17"
"1","21742577","Active","SFD","60 E Poplar St","601","$550,000","4","3","0","Zionsville","OLIVERS","0","2LEVL","NONE","","2,684","Yes","3,174","115","CESC05"
"1","21744385","Active","SFD","8165 Oakley Ter","601","$618,370","5","4","1","Zionsville","HAMPSHIRE","1","2LEVL","ATTACH","3","3,610","Yes","5,184","111","CESC05"
"1","21757728","Active","SFD","7520 E 550 S","601","$649,000","4","2","1","Zionsville","NO SUBDIVISION","1","2HALF","ATTACH","2","2,043","No","2,043","16","REAB01"
"1","21750505","Active","SFD","11547 Willow Bend Dr","601","$649,900","5","4","1","Zionsville","THE WILLOWS","1","2LEVL","ATTACH","3","3,512","Yes","5,298","83","KNRE01"
"1","21718571","Active","SFD","450 W Ash St","601","$750,000","5","3","1","Zionsville","NO SUBDIVISION","1","3LEVL","DETATCH","2","3,770","Yes","5,312","225","TUCK18"
"1","21740525","Active","SFD","4509 Austin Oaks Ct","601","$879,900","5","5","2","Zionsville","AUSTIN OAKS","4","2LEVL","ATTACH","3","6,343","Yes","10,184","126","TUCK07"
"1","21743132","Active","SFD","3323 S 800 E","601","$999,000","6","4","2","Zionsville","NO SUBDIVISION","1","2LEVL","ATTACH","4+","4,637","Yes","6,837","111","ECOR01"
"1","21729419","Active","SFD","7490 S Ford Rd","601","$1,800,000","3","3","2","Zionsville","VILLAGE OF ZIONSVILLE","1","2LEVL","ATTACH","4+","5,143","Yes","9,626","175","CESC05"
"1","21732044","Active","SFD","6743 Wellington Cir","601","$1,875,000","6","6","1","Zionsville","OLDFIELD","1","2LEVL","ATTACH,MULTI","4+","4,320","Yes","6,525","158","ECOR01"
"1","21756169","Active","SFD","6814 W 96th St","601","$3,650,000","5","4","2","Zionsville","NO SUBDIVISION","3","3LEVL","ATTACH","2","4,562","Yes","6,787","49","KKRI01"
"1","21695873","Active","SFD","9 Lost Run Ln","601","$4,250,000","6","6","3","Zionsville","LOST RUN FARM","4","2LEVL","ATTACH,MULTI","4+","8,207","Yes","13,322","227","ECOR01"
"1","21743858","Active","SFD","3825 S Indianapolis Rd","602","$199,000","3","1","1","Lebanon","NO SUBDIVISION","1","1LEVL","ATTACH","2","1,719","Yes","2,579","23","KWIN15"
"1","21725494","Active","SFD","6775 S 475 E","602","$1,350,000","2","2","0","Lebanon","NO SUBDIVISION","0","1LEVL","DETATCH","2","1,542","No","1,542","192","EZST01"
"1","21756128","Active","SFD","4335 Homestead Dr","603","$338,610","4","2","1","Lebanon","THE HERITAGE","1","2LEVL","ATTACH","2","2,751","No","2,751","51","MIHI01"
"1","21752803","Active","SFD","15 N 1100 E","604","$325,000","3","1","0","Zionsville","NO SUBDIVISION","3","1LEVL","DETATCH","2","2,204","Yes","2,755","66","REAB01"
"1","21737974","Active","SFD","9195 Mallard Pt","604","$970,000","5","4","2","Zionsville","MALLARD POND","3","3LEVL","ATTACH","3","4,611","Yes","7,124","126","TUCK14"
"1","21757591","Active","SFD","6132 Eagles Nest Blvd","605","$405,000","5","4","1","Zionsville","EAGLES NEST","1","2LEVL","ATTACH","2","3,630","Yes","5,830","38","SANG01"
"1","21737130","Active","SFD","7951 State Road 38","605","$439,900","3","2","0","Sheridan","NO SUBDIVISION","0","1LEVL","ATTACH","2","2,456","No","2,456","143","TUCK08"
"1","21720501","Active","SFD","10188 E State Road 47","605","$1,200,000","3","2","0","Sheridan","NO SUBDIVISION","1","1LEVL","DETATCH","2","1,751","No","1,751","204","TUCK07"
"1","21758098","Active","SFD","5445 E 250 N","607","$68,000","1","1","0","Lebanon","NO SUBDIVISION","0","1LEVL","ATTACH","2","1,267","No","1,267","34","ALAC01"
"1","21712597","Active","SFD","506 E WILLIAMS St","607","$109,999","2","1","0","Lebanon","LONGLEY","1","1HALF","ATTACH","1","1,416","Yes","1,949","180","HOSL01"
"1","21752698","Active","SFD","424 E Walnut St","607","$124,900","3","1","1","Lebanon","NO SUBDIVISION","0","1HALF","DETATCH","2","1,622","Yes","2,238","45","BREG01"
"1","21745451","Active","SFD","2915 N State Road 39","607","$174,000","3","1","1","Lebanon","NO SUBDIVISION","1","1LEVL","NONE","","1,729","No","1,729","106","CARP26"
"1","21740259","Active","SFD","3760 N State Road 39","607","$273,000","3","1","1","Lebanon","NO SUBDIVISION","0","1HALF","DETATCH","2","1,604","Yes","2,126","123","TUCK07"
"1","21750335","Active","SFD","148 Ulen Blvd","607","$779,000","6","5","0","Lebanon","COUNTRY CLUB PARK","3","2LEVL","ATTACH","3","7,428","Yes","10,392","81","KWIN04"
"1","21750450","Active","SFD","414 E Wall St","609","$70,000","3","1","0","WestBoone","NO SUBDIVISION","0","1HALF","NONE","","1,472","No","1,472","67","REAB08"
