"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1","21720523","Active","SFD","2079 Renegade Ct","2910","$579,000","4","4","0","Carmelclay","WESTWOOD ESTATES","1","1LEVL","ATTACH","2","2,402","Yes","4,804","115","TUCK14"
"1","21722381","Active","SFD","11983 West Rd","2910","$659,900","5","4","0","Carmelclay","WATERFRONT AT WEST CLAY","1","1LEVL","ATTACH","3","2,870","Yes","4,030","121","BHHS12"
"1","21722398","Active","SFD","11727 West Rd","2910","$1,075,000","4","4","1","Carmelclay","WATERFRONT AT WEST CLAY","1","1LOFT","ATTACH","3","3,400","Yes","4,065","195","BHHS12"
"1","21720309","Active","SFD","4444 W 126 St","2910","$1,150,000","4","4","3","Carmelclay","NO SUBDIVISION","2","2LEVL","ATTACH,DETATCH","4+","5,208","Yes","6,930","217","BHHS01"
"1","21722460","Active","SFD","11710 Waterbridge Dr","2910","$2,025,000","5","6","1","Zionsville","WATERFRONT AT WEST CLAY","1","2LEVL","ATTACH","4+","4,906","Yes","6,551","196","BHHS12"
"1","21725983","Active","SFD","10932 Cliffside Dr","2912","$410,000","3","3","1","HamltSe","VILLAGE AT FLAT FORK","1","2LEVL","ATTACH","2","2,923","No","2,923","185","CESC04"
"1","21723846","Active","SFD","10978 Towpath Ct","2912","$440,990","3","2","1","HamltSe","VILLAGE AT FLAT FORK","0","1LEVL","ATTACH","2","2,387","No","2,387","200","FRMN01"
"1","21724035","Active","SFD","405 Breakwater Dr","2912","$1,995,000","5","5","2","HamltSe","BREAKWATER","6","2LEVL","ATTACH,DETATCH,MULTI","4+","7,505","Yes","12,419","195","RRSE01"
"1","21721964","Active","SFD","16206 Brigham Ln","2913","$589,000","4","3","0","WestWashn","Wood Wind","1","2LEVL","ATTACH","3","2,877","Yes","4,528","153","BHHS12"
"1","21722002","Active","SFD","15641 Adagio Way","2913","$641,000","3","3","1","WestWashn","SERENADE","2","2LEVL","ATTACH","3","2,565","Yes","4,179","208","BHHS12"
"1","21728016","Active","SFD","16838 George Gang Blvd","2913","$890,000","6","5","1","WestWashn","BROOKSIDE","1","2LEVL","ATTACH","4+","3,904","Yes","5,500","179","BHHS12"
