"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1","21745864","Active","CND","528 HUNTERS DR E Unit#C","2910","$159,900","2","2","0","Carmelclay","HUNTERS GLEN","1","1LEVL","CARPORT","1","1,664","No","1,664","84","BHHS12"
"1","21755746","Active","CND","558 W Hunters Dr Unit#A","2910","$165,000","2","2","0","Carmelclay","HUNTERS GLEN","0","1LEVL","CARPORT","1","1,474","No","1,474","51","EZST02"
"1","21750402","Active","CND","507 Hunters Dr Unit#D","2910","$169,000","2","2","0","Carmelclay","HUNTERS GLEN","2","1LEVL","CARPORT","1","1,664","No","1,664","80","KWIN01"
"1","21743878","Active","CND","12880 University Cres Unit#3A","2910","$169,800","2","2","0","Carmelclay","VILLAGE OF WESTCLAY","0","1LEVL","NONE","","1,220","No","1,220","114","CNPR01"
"1","21748791","Active","CND","2579 Filson St","2910","$328,000","2","2","1","Carmelclay","VILLAGE OF WESTCLAY","0","3LEVL","ATTACH","2","1,715","No","1,715","83","REAB01"
"1","21756618","Active","CND","861 Park Trail S Dr","2910","$329,900","3","3","1","Carmelclay","GUILFORD TRAIL","0","3LEVL","ATTACH","2","2,650","No","2,650","31","KWIN01"
"1","21751765","Active","SFD","730 N Rangeline Rd","2910","$339,900","2","1","0","Carmelclay","NO SUBDIVISION","0","1LEVL","DETATCH","1","966","Yes","1,770","65","TUCK07"
"1","21755304","Active","SFD","10756 Downing St","2910","$349,000","4","2","1","Carmelclay","THE WOODLANDS","1","2LEVL","ATTACH","2","2,640","Yes","3,960","56","SCBA01"
"1","21750772","Active","SFD","3481 Windy Knoll Ln","2910","$369,900","4","3","0","Carmelclay","STANFORD PARK","1","2LEVL","ATTACH","2","1,710","Yes","3,124","77","PTWR01"
"1","21755171","Active","SFD","9764 E CEDAR POINT Dr","2910","$375,000","4","3","1","Carmelclay","CEDAR POINT","2","2LEVL","ATTACH","2","2,277","Yes","3,759","55","SQHU01"
"1","21750248","Active","SFD","14232 Community Dr","2910","$409,990","3","2","1","Carmelclay","THE GROVE AT LEGACY","0","2LEVL","ATTACH","2","2,223","No","2,223","83","CESC01"
"1","21740032","Active","SFD","5793 Opus Dr","2910","$449,000","3","2","1","Carmelclay","OVERTURE","1","1HALF","ATTACH","2","2,455","Yes","3,125","127","SNSH01"
"1","21756007","Active","SFD","7239 Delmont Dr","2910","$517,500","3","3","0","Carmelclay","OVERLOOK AT THE LEGACY","1","1LEVL","ATTACH","3","1,852","Yes","3,703","52","DREZ01"
"1","21757916","Active","CND","15 W Executive Dr Unit#305/2A","2910","$570,000","2","2","1","Carmelclay","NO SUBDIVISION","0","1LEVL","BUILTIN,OTHER","2","1,654","No","1,654","37","MITN01"
"1","21746397","Active","SFD","12584 Branford St","2910","$595,000","5","3","1","Carmelclay","VILLAGE OF WESTCLAY","1","2LEVL","ATTACH","2","2,701","Yes","3,547","101","CNPR01"
"1","21738520","Active","SFD","14349 Laura Vista Dr","2910","$599,900","3","3","0","Carmelclay","LAURA VISTA","2","1LEVL","ATTACH","3","2,414","Yes","4,334","136","EXRE01"
"1","21749510","Active","SFD","11784 Eden Estates Pl","2910","$650,000","4","4","1","Carmelclay","EDEN ESTATES","1","2LEVL","ATTACH","3","3,462","No","3,462","88","BHHS12"
"1","21746303","Active","SFD","1641 Summerlakes Ct","2910","$685,000","3","4","1","Carmelclay","SUMMERLAKES","2","1LEVL","ATTACH","3","4,409","No","4,409","101","REMG01"
"1","21756119","Active","SFD","2982 Kings Ct","2910","$725,000","5","4","1","Carmelclay","KINGS MILL","1","2LEVL","ATTACH","3","3,833","Yes","5,888","38","TUCK14"
"1","21732757","Active","SFD","11233 Temple Dr","2910","$799,999","4","4","1","Carmelclay","HERITAGE AT SPRING MILL","1","2LEVL","ATTACH","2","3,100","Yes","5,500","159","CESC01"
"1","21753062","Active","SFD","906 Auman Dr E","2910","$835,745","4","3","1","Carmelclay","AUMANS","2","2LEVL","ATTACH","2","3,255","Yes","5,567","68","DREZ01"
"1","21751252","Active","SFD","12258 Ams Run","2910","$870,000","4","3","1","Carmelclay","JACKSON'S GRANT","1","1LEVL","ATTACH","3","2,480","Yes","4,960","55","CESC01"
"1","21746620","Active","SFD","2695 Silver Oaks","2910","$915,000","3","3","1","Carmelclay","CAMDEN WALK","1","1LEVL","ATTACH","3","4,216","Yes","5,472","98","TUCK14"
"1","21752415","Active","SFD","305 3rd Ave NE","2910","$919,000","4","3","1","Carmelclay","BLACKWELL PARK","2","2LEVL","ATTACH","2","2,867","Yes","4,827","72","PDIG01"
"1","21734339","Active","SFD","2712 Silver Oaks Dr","2910","$930,000","3","3","1","Carmelclay","CAMDEN WALK","1","1LEVL","ATTACH","3","2,677","Yes","4,544","157","TUCK14"
"1","21728236","Active","SFD","1795 Milford St","2910","$1,100,000","5","5","1","Carmelclay","VILLAGE OF WESTCLAY","1","2LEVL","ATTACH","3","4,508","Yes","6,532","143","CERA01"
"1","21748506","Active","SFD","10416 High Grove Dr","2910","$1,150,000","5","4","1","Carmelclay","WINDEMERE","1","2LEVL","ATTACH","3","5,013","Yes","8,363","88","CESC05"
"1","21731541","Active","SFD","1248 Skytag Dr","2910","$1,249,000","6","4","1","Carmelclay","JACKSONS GRANT ON WILLIAMS CREEK","2","2LEVL","ATTACH","3","4,498","Yes","6,353","164","REAR04"
"1","21754507","Active","SFD","2200 W MAIN St","2910","$1,250,000","3","2","1","Carmelclay","NO SUBDIVISION","1","1LEVL","ATTACH","2","1,730","No","1,730","66","REAB09"
"1","21734270","Active","SFD","737 Suffolk Ln","2910","$1,285,000","6","4","2","Carmelclay","CLAYBRIDGE","4","2LEVL","ATTACH,MULTI","4+","6,510","Yes","7,330","156","BOYD01"
"1","21735063","Active","SFD","3848 W 141st St","2910","$1,325,000","6","5","2","Carmelclay","NO SUBDIVISION","3","2LEVL","ATTACH","4+","5,134","Yes","6,492","136","ECOR01"
"1","21730346","Active","SFD","2384 Treesdale Cir","2910","$1,419,500","5","5","3","Carmelclay","TREESDALE","2","2LEVL","ATTACH","4+","7,874","Yes","12,129","168","TUCK14"
"1","21756117","Active","SFD","13135 W Sherbern Dr","2910","$1,599,900","7","6","2","Carmelclay","ESTATES OF CLAY WEST","4","1HALF","ATTACH","4+","5,585","Yes","10,214","52","REAB01"
"1","21749081","Active","SFD","9950 Spring Mill Rd","2910","$1,925,000","5","4","2","Carmelclay","NO SUBDIVISION","3","2LEVL","ATTACH","4+","6,661","Yes","7,875","90","CBKA01"
"1","21743505","Active","SFD","4141 W 116th St","2910","$6,250,000","5","6","2","Carmelclay","NO SUBDIVISION","4","2LEVL","MULTI","4+","11,672","Yes","14,209","87","KWIN01"
"1","21755857","Active","SFD","14421 Stunner Pass Dr","2911","$273,900","2","2","0","HamltSe","OVERLOOK AT WHITE RIVER","0","1LEVL","ATTACH","2","1,185","No","1,185","53","HMSR01"
"1","21755827","Active","SFD","14433 Treasure Creek Ln","2911","$273,900","2","2","0","HamltSe","OVERLOOK AT WHITE RIVER","1","1LEVL","ATTACH","2","1,102","No","1,102","53","HMSR01"
"1","21755848","Active","SFD","8283 Glacier Ridge Dr","2911","$274,655","2","2","0","HamltSe","OVERLOOK AT WHITE RIVER","0","1LEVL","ATTACH","2","1,102","No","1,102","53","HMSR01"
"1","21755756","Active","SFD","8310 Summit Peak Ave","2911","$274,655","2","2","0","HamltSe","OVERLOOK AT WHITE RIVER","1","1LEVL","ATTACH","2","1,111","No","1,111","54","HMSR01"
"1","21755820","Active","SFD","14473 Treasure Creek Ln","2911","$277,900","2","2","0","HamltSe","OVERLOOK AT WHITE RIVER","0","1LEVL","ATTACH","2","1,222","No","1,222","53","HMSR01"
"1","21752108","Active","SFD","14437 Stunner Pass Dr","2911","$279,090","2","2","0","HamltSe","OVERLOOK AT WHITE RIVER","1","1LEVL","ATTACH","2","1,089","No","1,089","56","HMSR01"
"1","21755845","Active","SFD","8315 Glacier Ridge Dr","2911","$279,655","2","2","0","HamltSe","OVERLOOK AT WHITE RIVER","1","1LEVL","ATTACH","2","1,222","No","1,222","53","HMSR01"
"1","21755839","Active","SFD","14438 Stunner Pass Dr","2911","$281,655","2","2","0","HamltSe","OVERLOOK AT WHITE RIVER","0","1LEVL","ATTACH","2","1,222","No","1,222","53","HMSR01"
"1","21755847","Active","SFD","14478 Stunner Pass Dr","2911","$282,655","2","2","0","HamltSe","OVERLOOK AT WHITE RIVER","1","1LEVL","ATTACH","2","1,222","No","1,222","53","HMSR01"
"1","21755737","Active","SFD","8294 Summit Peak Ave","2911","$285,900","3","2","1","HamltSe","OVERLOOK AT WHITE RIVER","1","2LEVL","ATTACH","2","1,784","No","1,784","54","HMSR01"
"1","21755774","Active","SFD","8291 Glacier Ridge Dr","2911","$286,900","3","2","1","HamltSe","OVERLOOK AT WHITE RIVER","0","2LEVL","ATTACH","2","1,784","No","1,784","54","HMSR01"
