"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1","21651920","Active","SFD","942 Walnut St","3005","$489,000","5","2","0","HanoverComm","EXCHANGE","0","1LEVL","NONE","","1,463","No","1,463","357","CORP01"
"1","21610309","S","SFD","321 E Monroe St","3001","$60,000","2","1","0","MtVernon","CENTRAL","0","1LEVL","NONE","","700","No","700","174","RATL01"
"1","21651553","S","SFD","345 ILLINOIS St","3001","$76,000","3","1","0","MtVernon","CENTRAL","0","1LEVL","NONE","","1,228","No","1,228","6","JREL01"
"1","21667899","S","SFD","418 W Staat","3001","$79,000","2","1","0","MtVernon","NO SUBDIVISION","0","1LEVL","DETATCH","1","808","No","808","6","DREI01"
"1","21648346","S","SFD","8578 N Ricks Dr E","3001","$88,000","3","1","1","MtVernon","WOODBURY MANOR","0","1LEVL","ATTACH","2","1,032","No","1,032","1","RERG01"
"1","21664528","S","SFD","9909 N 125 W","3001","$95,000","3","1","0","MtVernon","NO SUBDIVISION","0","1LEVL","DETATCH","2","1,200","No","1,200","34","RATL01"
"1","21642849","S","SFD","314 Illinois St","3001","$95,000","2","1","0","MtVernon","CENTRAL","0","1LEVL","CARPORT","1","700","No","700","11","BHHS05"
"1","21639074","S","SFD","620 S Oak St","3001","$95,000","3","2","0","MtVernon","RECORD & VOORHIS","0","2LEVL","ATTACH","2","1,736","Yes","2,520","0","BHHS02"
"1","21647934","S","SFD","208 S McCarty St","3001","$100,000","3","1","0","HamltSe","LARKINS W CROUCHS ADD","0","1HALF","DETATCH","1","1,816","No","1,816","3","URE 01"
"1","21644334","S","SFD","664 W 1050 N","3001","$102,500","4","1","1","MtVernon","NO SUBDIVISION","0","1LEVL","NONE","","2,002","No","2,002","74","TUCK03"
"1","21667881","S","SFD","517 N LELAND St","3001","$105,000","2","1","0","MtVernon","CENTRAL","0","1LEVL","CARPORT,DETATCH","1","680","No","680","33","DREI01"
"1","21645695","S","SFD","1016 Alden Dr","3001","$113,000","3","1","0","MtVernon","HELMCREST","0","1LEVL","ATTACH","1","1,222","No","1,222","7","KWIN05"
"1","21679268","S","SFD","521 N Leland St","3001","$114,500","2","1","0","MtVernon","CENTRAL","0","1LEVL","DETATCH","1","1,100","No","1,100","7","RATL01"
"1","21645503","S","SFD","211 N Merrill St","3001","$115,000","3","1","1","MtVernon","NO SUBDIVISION","0","1LEVL","DETATCH","1","1,516","Yes","2,776","46","SSRI01"
"1","21664559","S","SFD","637 Holiday Dr","3001","$121,000","3","2","0","MtVernon","HELMCREST","0","1LEVL","ATTACH","1","1,040","No","1,040","8","CARP32"
"1","21650524","S","SFD","506 Poplar St","3001","$122,500","2","1","0","MtVernon","NO SUBDIVISION","0","1LEVL","DETATCH","1","822","No","822","12","RERG01"
"1","21666169","S","SFD","429 E Michigan St","3001","$123,700","3","2","1","MtVernon","CENTRAL","0","2LEVL","NONE","","2,184","No","2,184","3","CPRE01"
"1","21642760","S","SFD","317 E Michigan St","3001","$125,000","3","1","0","MtVernon","CENTRAL","1","1LEVL","DETATCH","2","1,013","No","1,013","10","RERG01"
"1","21671574","S","SFD","6946 N Karnes Dr","3001","$126,900","4","2","1","MtVernon","AUSTIN TRACE","1","2LEVL","ATTACH","2","2,180","No","2,180","9","CHAZ01"
"1","21629398","S","SFD","9734 N Fortville Pike","3001","$128,000","3","1","0","MtVernon","NO SUBDIVISION","0","1HALF","DETATCH","1","954","No","954","10","RERG01"
"1","21684257","S","SFD","121 E Church St","3001","$128,500","2","1","0","MtVernon","NO SUBDIVISION","1","1LEVL","NONE","","1,770","No","1,770","32","NBLC01"
"1","21646268","S","SFD","522 N Leland St","3001","$131,900","3","2","0","MtVernon","CENTRAL","0","1LEVL","ATTACH","1","1,058","No","1,058","14","BHHS05"
"1","21667412","S","SFD","704 Breakers Ln","3001","$132,500","3","2","0","MtVernon","FLATROCK CREEK","0","1LEVL","ATTACH","2","1,240","No","1,240","7","RATL01"
"1","21658808","S","SFD","2169 W State Road 234","3001","$137,000","3","2","0","MtVernon","NO SUBDIVISION","0","1LEVL","ATTACH","2","1,584","No","1,584","5","CESC04"
"1","21650329","S","SFD","207 PEARL St","3001","$139,000","3","1","1","MtVernon","RECORD & VOORHIS","1","1LEVL","NONE","","1,260","No","1,260","4","NDRE01"
"1","21660798","S","SFD","718 Breakers Ln","3001","$139,900","3","2","0","MtVernon","FLATROCK CREEK","0","1LEVL","ATTACH","2","1,120","No","1,120","2","REMK01"
"1","21640209","S","SFD","515 S Main St","3001","$145,000","2","1","0","MtVernon","NO SUBDIVISION","0","1LEVL","DETATCH","2","1,074","Yes","1,342","1","REER01"
"1","21642540","S","SFD","421 MONROE St","3001","$146,000","3","1","0","MtVernon","HELMS","0","1LEVL","DETATCH","1","1,008","No","1,008","59","JREL01"
"1","21652606","S","SFD","650 W 600 N","3001","$150,000","3","1","1","MtVernon","NO SUBDIVISION","1","1LEVL","ATTACH","2","2,024","No","2,024","8","TUCK07"
"1","21645206","S","SFD","917 Motel Dr","3001","$150,000","3","1","1","MtVernon","COLONIAL VILLAGE","1","1LEVL","ATTACH","2","1,603","No","1,603","7","TUCK02"
"1","21647434","S","SFD","715 Berkley Dr","3001","$154,500","3","1","1","MtVernon","HELMCREST","1","TRILV","ATTACH","1","1,660","No","1,660","9","KWIN01"
"1","21646557","S","SFD","105 W New York St","3001","$157,000","3","2","0","MtVernon","TIMBER RIDGE","1","1LEVL","ATTACH","2","1,216","No","1,216","2","RMAX01"
"1","21642001","S","SFD","418 Virginia St","3001","$157,900","3","2","0","MtVernon","TIMBER RIDGE","0","1LEVL","ATTACH","2","1,480","No","1,480","0","JREL01"
"1","21651240","S","SFD","513 N Merrill St","3001","$159,000","4","2","0","MtVernon","DIXON MINOR","0","2LEVL","DETATCH","2","2,069","Yes","2,355","1","CESC04"
"1","21673044","S","SFD","413 E New York St","3001","$160,201","3","2","0","MtVernon","TIMBER RIDGE","0","1LEVL","ATTACH","2","1,461","No","1,461","3","ECOR01"
"1","21651522","S","SFD","6916 N Karnes Dr","3001","$162,000","3","2","0","MtVernon","AUSTIN TRACE","1","1LEVL","ATTACH","2","1,390","No","1,390","1","MCNU01"
"1","21644356","S","SFD","206 E Delaware St","3001","$164,000","3","2","0","MtVernon","TIMBER RIDGE","0","1LEVL","ATTACH","2","1,400","No","1,400","16","CRRO01"
"1","21642047","S","SFD","6665 W ODESSA Way","3001","$165,000","3","2","0","MtVernon","AUSTIN TRACE","0","1LEVL","ATTACH","2","1,391","No","1,391","6","KWIN02"
"1","21654728","S","SFD","1347 W Wyndstone Way","3001","$165,386","3","2","0","MtVernon","WYNDSTONE","0","1LEVL","ATTACH","2","1,400","No","1,400","34","NBLC01"
"1","21640411","S","SFD","7080 N Stubbington Ln","3001","$166,000","3","2","0","MtVernon","GATEWAY CROSSING","0","1LEVL","ATTACH","2","1,542","No","1,542","5","SIRK01"
"1","21644512","S","SFD","416 S Oak St","3001","$168,000","3","1","0","MtVernon","VOORHIS","0","1LEVL","DETATCH","1","1,167","No","1,167","25","JREL01"
