"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1","21734971","Active","SFD","10523 Ballard Dr","3201","$257,500","3","2","0","Brownsburg","BRANCHES","0","1LEVL","ATTACH","2","2,148","No","2,148","131","REAR04"
"1","21757755","Active","SFD","7203 Prelude Rd","3201","$390,840","4","2","1","Brownsburg","CADENCE","1","2LEVL","ATTACH","3","3,063","No","3,063","38","RISE01"
"1","21745098","Active","CND","4461 Quail Creek Tr N. St","3202","$289,900","2","2","0","NthHendrk","QUAIL CREEK ESTATES","0","1LEVL","ATTACH","2","1,671","No","1,671","108","CSRG04"
"1","21755180","Active","SFD","291 S Woodridge Dr","3202","$407,900","3","2","1","NthHendrk","WOODRIDGE COMMONS","1","1HALF","ATTACH","3","2,230","No","2,230","58","CARP12"
"1","21751918","Active","SFD","3743 E County Road 1000 N","3202","$935,000","4","5","1","NthHendrk","NO SUBDIVISION","1","2LEVL","ATTACH","3","3,993","Yes","5,903","74","TPSH01"
"1","21754889","Active","SFD","2217 Heartland Ln","3203","$219,990","2","2","0","Brownsburg","BERSOT CROSSING","0","1LEVL","ATTACH","2","1,328","No","1,328","62","AGWH01"
"1","21757230","Active","SFD","1478 Hideaway Cir","3203","$259,500","2","2","1","Brownsburg","THE HIDEAWAY","1","1LEVL","ATTACH","2","1,513","No","1,513","42","DREZ01"
"1","21757738","Active","SFD","6940 Collisi Pl","3203","$370,570","4","2","1","Brownsburg","EMERALD PARK","1","2LEVL","ATTACH","3","3,032","No","3,032","38","CESC07"
"1","21757731","Active","SFD","6685 Collisi Pl","3203","$385,570","4","2","1","Brownsburg","EMERALD PARK","1","2LEVL","ATTACH","3","3,154","No","3,154","38","CESC07"
"1","21734800","Active","SFD","3204 E Main St","3204","$204,900","3","1","0","Plainfield","NO SUBDIVISION","2","1LEVL","ATTACH","2","1,260","Yes","2,520","153","TUCK04"
"1","21754765","Active","SFD","10767 Miller Dr","3204","$245,000","3","2","1","Avon","BENTWOOD PARK","0","2LEVL","ATTACH","2","2,377","No","2,377","62","JNHM01"
"1","21734984","Active","SFD","9122 Hedley Way E","3204","$259,900","2","2","0","Avon","Regency Reserve","0","1LEVL","ATTACH","2","1,478","No","1,478","153","HMSR01"
