"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1","21666772","Pend","SFD","1923 Acorn Dr","4105","$109,000","3","2","1","Franklin","DEER RUN","0","2LEVL","ATTACH","2","1,450","No","1,450","30","JPTM01"
"1","21672627","Pend","SFD","2115 Galaxy Dr","4105","$125,000","3","2","0","Franklin","DEER TRACE","0","2LEVL","ATTACH","1","2,006","No","2,006","69","LLND01"
"1","21653501","S","SFD","5414 Old Smith Valley Rd","4101","$31,750","6","3","0","Centrgrove","GREENWOOD","0","1LEVL","NONE","","2,278","Yes","3,417","24","URE 01"
"1","21666894","S","SFD","58 S TRESSLAR Ave","4101","$76,000","1","1","0","Centrgrove","NO SUBDIVISION","0","1LEVL","CARPORT","1","650","No","650","3","STCR01"
"1","21642138","S","SFD","898 Hiatt Ave","4101","$81,000","3","1","0","Centrgrove","CHARLES HIATTS","1","1LEVL","DETATCH","2","1,494","No","1,494","20","TUCK20"
"1","21659748","S","SFD","480 E Old Plank Rd","4101","$88,500","3","1","0","Centrgrove","NO SUBDIVISION","0","1LEVL","DETATCH","2","912","No","912","3","TUCK16"
"1","21645341","S","SFD","4947 W Welton St","4101","$89,250","2","1","0","Centrgrove","CHARLES HIATTS","0","1LEVL","DETATCH","2","720","No","720","8","HMRL01"
"1","21671478","S","SFD","3812 Creekwood Dr","4101","$91,000","5","3","0","Centrgrove","WOODCREEK TERRACE","1","MULTI","ATTACH","2","2,592","No","2,592","1","KWIN01"
"1","21685946","S","SFD","159 Village Rd","4101","$92,665","3","1","0","Centrgrove","THREE NOTCH VILLAGE","0","1LEVL","ATTACH","1","988","No","988","3","TOM 01"
"1","21623518","S","SFD","527 S Peterman Rd","4101","$104,600","2","1","0","Centrgrove","NO SUBDIVISION","0","1HALF","NONE","","1,538","No","1,538","41","REAB08"
"1","21650628","S","SFD","267 N Wagon Rd","4101","$112,000","3","1","0","Centrgrove","THREE NOTCH VILLAGE","0","1LEVL","ATTACH","1","988","No","988","2","HMRP01"
"1","21645856","S","SFD","4633 W Smith Valley Rd","4101","$115,000","3","2","0","Centrgrove","TURFWAY PARK","0","1LEVL","ATTACH","2","1,200","No","1,200","5","CARP07"
"1","21679676","S","CND","1466 OAKHILL Dr","4101","$120,000","2","2","1","Centrgrove","RESERVE AT ROYAL OAKS","0","2LEVL","ATTACH","2","1,431","No","1,431","1","IRPL01"
"1","21661181","S","SFD","347 Yorktown Rd","4101","$120,000","4","1","1","Greenwood","COOPERS","0","TRILV","ATTACH","2","1,436","No","1,436","50","KWIN05"
"1","21647075","S","SFD","124 N West St","4101","$120,000","2","1","1","Centrgrove","ALTUM","1","1LEVL","DETATCH","2","1,456","No","1,456","13","UNRT01"
"1","21635089","S","SFD","249 N WAGON Rd","4101","$120,000","3","1","0","Centrgrove","THREE NOTCH VILLAGE","0","1LEVL","ATTACH","1","988","No","988","85","GEMI01"
"1","21615262","S","SFD","1410 W Smith Valley Rd","4101","$120,000","3","1","1","Centrgrove","HENDRICKS","1","1LEVL","ATTACH","1","1,511","No","1,511","137","TGRB01"
"1","21659592","S","SFD","127 N Tresslar Ave","4101","$121,500","3","1","0","Centrgrove","NO SUBDIVISION","0","1LEVL","ATTACH","1","1,040","No","1,040","9","KWIN14"
"1","21666793","S","SFD","5356 Old Smith Valley Rd","4101","$123,000","3","1","0","Centrgrove","NO SUBDIVISION","0","1LEVL","CARPORT","1","864","No","864","8","TIGR01"
"1","21625937","S","SFD","1279 Mount Pleasant West St","4101","$125,000","3","1","1","Centrgrove","RICHARDS & LANDERS MT PLESANT","0","1LEVL","DETATCH","2","1,752","No","1,752","72","CARP27"
"1","21661542","S","SFD","71 S West St","4101","$127,000","3","1","1","Centrgrove","DAWSON ADDITION","0","2LEVL","DETATCH","2","1,842","Yes","2,763","5","KWIN14"
"1","21638255","S","SFD","1013 Rita Dr","4101","$127,000","3","1","0","Centrgrove","GREENWOOD","0","1LEVL","DETATCH","2","1,004","Yes","1,340","14","CARP11"
"1","21653438","S","SFD","5399 W Smith Valley Rd","4101","$128,000","3","1","0","Centrgrove","NO SUBDIVISION","0","1LEVL","NONE","","1,008","No","1,008","24","GRHR01"
"1","21642391","S","SFD","4545 OLD SMITH VALLEY Rd","4101","$129,000","3","1","0","Centrgrove","RUNYON","0","1LEVL","DETATCH","2","1,107","No","1,107","11","BHHS03"
"1","21655260","S","SFD","1514 S Morgantown Rd","4101","$130,000","2","1","0","Centrgrove","NO SUBDIVISION","0","1LEVL","DETATCH","1","816","No","816","3","TUCK16"
"1","21679999","S","SFD","704 Woodcreek Ct","4101","$132,500","3","2","1","Centrgrove","WOOD CREEK ESTATES","1","2HALF","ATTACH","2","1,874","Yes","2,574","3","STIL01"
"1","21643791","S","SFD","4613 OLD SMITH VALLEY Rd","4101","$132,500","3","2","0","Centrgrove","RUNYON","0","1LEVL","NONE","","1,080","Yes","2,160","2","HRLS01"
"1","21658411","S","SFD","1044 Barefoot Trl","4101","$133,000","4","1","1","Centrgrove","IMPERIAL HILLS","0","1LEVL","ATTACH","1","1,626","No","1,626","98","MEVR01"
"1","21678020","S","SFD","1126 LOVERS Ln","4101","$134,500","4","1","1","Centrgrove","IMPERIAL HILLS","0","1LEVL","NONE","","1,579","No","1,579","7","PTPM01"
"1","21643395","S","SFD","5359 Olive Branch Rd","4101","$134,600","4","2","0","Centrgrove","MARK II","1","1HALF","ATTACH","2","1,992","No","1,992","3","JPTM01"
"1","21635072","S","SFD","4799 W Runyon Lake Dr","4101","$135,000","4","1","1","Centrgrove","RUNYON","0","1LEVL","ATTACH","2","1,388","No","1,388","25","TUCK16"
"1","21661904","S","SFD","119 Irma St","4101","$136,000","3","1","0","Centrgrove","DAWSONS ADD 2","0","1LEVL","ATTACH","2","1,004","No","1,004","2","CARP19"
"1","21666803","S","SFD","448 VILLAGE Rd","4101","$137,000","4","1","1","Centrgrove","THREE NOTCH VILLAGE","0","BILVL","ATTACH","2","1,488","No","1,488","9","RGWR01"
"1","21661048","S","SFD","4912 W OLIVE BRANCH Rd","4101","$138,000","3","1","0","Centrgrove","NO SUBDIVISION","0","1LEVL","DETATCH","1","1,120","Yes","2,480","2","BALD01"
"1","21650024","S","SFD","136 S TRESSLAR Ave","4101","$138,000","4","2","0","Centrgrove","NO SUBDIVISION","0","1LEVL","NONE","","1,248","No","1,248","5","TANY01"
"1","21610259","S","SFD","479 SAN RICARDO Dr","4101","$139,000","2","2","0","Centrgrove","THE VILLAS","1","1LEVL","ATTACH","2","1,420","No","1,420","138","CARP08"
"1","21665944","S","SFD","855 S Paddock Rd","4101","$139,900","3","1","0","Centrgrove","NO SUBDIVISION","1","1LEVL","DETATCH,MULTI","2","1,075","No","1,075","5","EXPL01"
