"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1","21746184","Active","SFD","3901 BENNETT Dr","4902","$99,000","3","1","0","Ips","GATEWAY WEST","0","1LEVL","NONE","","950","No","950","90","EXPL01"
"1","21746984","Active","SFD","4308 Exmoor Ct","4902","$114,900","3","2","0","PikeTwp","WEDGEWOOD","1","1LEVL","ATTACH","1","1,396","No","1,396","28","CESC04"
"1","21743937","Active","CND","8830 Yardley Ct Unit#206","4902","$123,000","2","2","0","PikeTwp","NO SUBDIVISION","1","1LEVL","DETATCH","1","1,175","No","1,175","113","PDIG01"
"1","21755387","Active","SFD","4314 DABNY Dr","4902","$145,000","3","1","1","Ips","WEDGEWOOD","0","1LEVL","ATTACH","1","1,068","No","1,068","39","SCBA01"
"1","21738401","Active","CND","7163 Caversham Pl","4902","$199,500","2","2","2","PikeTwp","WESTBOURNE","1","3LEVL","ATTACH","2","1,800","No","1,800","75","LDEG01"
"1","21750855","Active","SFD","3040 W 79th St","4902","$240,000","4","2","0","PikeTwp","NO SUBDIVISION","1","BILVL","ATTACH","2","2,632","No","2,632","35","MSWS01"
"1","21754961","Active","SFD","4417 Primrose Ave","4903","$62,000","3","1","0","Ips","MAPLE DOWNS","0","2LEVL","OTHER","","1,040","Yes","1,760","7","JUDO01"
"1","21754759","Active","CND","910 PARK CENTRAL S DR Dr Unit#D","4903","$67,000","1","1","1","Washington","PARK HOOVER VILLAGE","0","1LEVL","NONE","","1,050","No","1,050","60","TUCK14"
"1","21750222","Active","SFD","420 W 39th St","4903","$105,000","2","1","0","Ips","H E & A PHELPS","0","1LEVL","NONE","","882","Yes","1,542","65","WYNK01"
"1","21743949","Active","CND","8503 Canterbury Sq W Unit#A","4903","$116,000","2","2","0","Washington","CANTERBURY CONDOMINIUM","0","1LEVL","NONE","","1,175","No","1,175","111","TUCK10"
"1","21738081","Active","SFD","409 Harvard Pl","4903","$140,900","3","2","0","Ips","MAPLE HEIGHTS","1","1LEVL","NONE","","900","Yes","1,350","125","KWIN05"
"1","21753134","Active","SFD","6871 N Rural St","4903","$149,900","3","2","0","Washington","NO SUBDIVISION","0","1LEVL","ATTACH","2","1,025","No","1,025","7","KWIN05"
"1","21746570","Active","SFD","4958 N Crittenden","4903","$162,900","2","1","0","Ips","BELLAIRE","1","1LEVL","NONE","","936","Yes","1,820","97","RMAC01"
