GENDER,AGEGRP,DATE,COVID_COUNT,COUNTY_NAME,YEAR,MONTH,DAY,MONTH_NAME
F,0-19,2020-04-21 00:00:00,1,Boone,2020,4,21,April
F,0-19,2020-04-22 00:00:00,1,Boone,2020,4,22,April
F,0-19,2020-05-20 00:00:00,1,Boone,2020,5,20,May
F,0-19,2020-05-25 00:00:00,1,Boone,2020,5,25,May
F,0-19,2020-05-29 00:00:00,1,Boone,2020,5,29,May
F,0-19,2020-06-11 00:00:00,1,Boone,2020,6,11,June
F,0-19,2020-06-19 00:00:00,1,Boone,2020,6,19,June
F,0-19,2020-06-20 00:00:00,1,Boone,2020,6,20,June
F,0-19,2020-06-22 00:00:00,1,Boone,2020,6,22,June
F,0-19,2020-06-25 00:00:00,1,Boone,2020,6,25,June
F,0-19,2020-06-26 00:00:00,1,Boone,2020,6,26,June
F,0-19,2020-06-28 00:00:00,1,Boone,2020,6,28,June
F,0-19,2020-06-29 00:00:00,2,Boone,2020,6,29,June
F,0-19,2020-07-03 00:00:00,3,Boone,2020,7,3,July
F,0-19,2020-07-06 00:00:00,1,Boone,2020,7,6,July
F,0-19,2020-07-07 00:00:00,1,Boone,2020,7,7,July
F,0-19,2020-07-08 00:00:00,1,Boone,2020,7,8,July
F,0-19,2020-07-09 00:00:00,2,Boone,2020,7,9,July
F,0-19,2020-07-10 00:00:00,1,Boone,2020,7,10,July
F,0-19,2020-07-11 00:00:00,1,Boone,2020,7,11,July
F,0-19,2020-07-13 00:00:00,1,Boone,2020,7,13,July
F,0-19,2020-07-14 00:00:00,2,Boone,2020,7,14,July
F,0-19,2020-07-15 00:00:00,2,Boone,2020,7,15,July
F,0-19,2020-07-16 00:00:00,1,Boone,2020,7,16,July
F,0-19,2020-07-17 00:00:00,2,Boone,2020,7,17,July
F,0-19,2020-07-18 00:00:00,2,Boone,2020,7,18,July
F,0-19,2020-07-20 00:00:00,1,Boone,2020,7,20,July
F,0-19,2020-07-22 00:00:00,1,Boone,2020,7,22,July
F,0-19,2020-07-25 00:00:00,2,Boone,2020,7,25,July
F,0-19,2020-07-26 00:00:00,1,Boone,2020,7,26,July
F,0-19,2020-07-28 00:00:00,1,Boone,2020,7,28,July
F,0-19,2020-07-29 00:00:00,1,Boone,2020,7,29,July
F,0-19,2020-07-31 00:00:00,3,Boone,2020,7,31,July
F,0-19,2020-08-01 00:00:00,1,Boone,2020,8,1,August
F,0-19,2020-08-03 00:00:00,1,Boone,2020,8,3,August
F,0-19,2020-08-05 00:00:00,1,Boone,2020,8,5,August
F,0-19,2020-08-07 00:00:00,1,Boone,2020,8,7,August
F,0-19,2020-08-08 00:00:00,1,Boone,2020,8,8,August
F,0-19,2020-08-11 00:00:00,2,Boone,2020,8,11,August
F,0-19,2020-08-13 00:00:00,3,Boone,2020,8,13,August
F,0-19,2020-08-14 00:00:00,2,Boone,2020,8,14,August
F,0-19,2020-08-15 00:00:00,2,Boone,2020,8,15,August
F,0-19,2020-08-16 00:00:00,2,Boone,2020,8,16,August
F,0-19,2020-08-17 00:00:00,1,Boone,2020,8,17,August
F,0-19,2020-08-19 00:00:00,1,Boone,2020,8,19,August
F,0-19,2020-08-23 00:00:00,1,Boone,2020,8,23,August
F,0-19,2020-08-24 00:00:00,1,Boone,2020,8,24,August
F,0-19,2020-08-25 00:00:00,1,Boone,2020,8,25,August
F,0-19,2020-08-26 00:00:00,4,Boone,2020,8,26,August
F,0-19,2020-08-27 00:00:00,2,Boone,2020,8,27,August
F,0-19,2020-08-30 00:00:00,4,Boone,2020,8,30,August
F,0-19,2020-09-01 00:00:00,4,Boone,2020,9,1,September
F,0-19,2020-09-04 00:00:00,1,Boone,2020,9,4,September
F,0-19,2020-09-05 00:00:00,1,Boone,2020,9,5,September
F,0-19,2020-09-10 00:00:00,2,Boone,2020,9,10,September
F,0-19,2020-09-13 00:00:00,1,Boone,2020,9,13,September
F,0-19,2020-09-18 00:00:00,1,Boone,2020,9,18,September
F,0-19,2020-09-21 00:00:00,2,Boone,2020,9,21,September
F,0-19,2020-09-24 00:00:00,1,Boone,2020,9,24,September
F,0-19,2020-09-25 00:00:00,2,Boone,2020,9,25,September
F,0-19,2020-09-26 00:00:00,1,Boone,2020,9,26,September
F,0-19,2020-09-27 00:00:00,1,Boone,2020,9,27,September
F,0-19,2020-09-29 00:00:00,2,Boone,2020,9,29,September
F,0-19,2020-09-30 00:00:00,3,Boone,2020,9,30,September
