MLSNumber,ListPrice,ListingContractDate,County,YEAR,MONTH,MONTH_NAME
21744502,255000,2020-10-07,Johnson,2020,10,October
21743726,259000,2020-10-02,Johnson,2020,10,October
21757165,269900,2020-12-13,Johnson,2020,12,December
21754205,293695,2020-11-19,Johnson,2020,11,November
21756817,297610,2020-12-11,Johnson,2020,12,December
21729959,299900,2020-08-04,Johnson,2020,8,August
21757389,314900,2020-12-15,Johnson,2020,12,December
21754829,319990,2020-11-24,Johnson,2020,11,November
21752022,326700,2020-11-13,Johnson,2020,11,November
21756690,329900,2020-12-09,Johnson,2020,12,December
21756198,333494,2020-12-05,Johnson,2020,12,December
21758626,339620,2020-12-29,Johnson,2020,12,December
21756823,340200,2020-12-11,Johnson,2020,12,December
21754193,342700,2020-11-19,Johnson,2020,11,November
21752020,342705,2020-11-13,Johnson,2020,11,November
21757751,350105,2020-12-18,Johnson,2020,12,December
21755341,358729,2020-11-30,Johnson,2020,11,November
21734134,359020,2020-08-20,Johnson,2020,8,August
21756130,360695,2020-12-07,Johnson,2020,12,December
21754215,369799,2020-11-19,Johnson,2020,11,November
21755166,369900,2020-11-27,Johnson,2020,11,November
21755511,372368,2020-11-30,Johnson,2020,11,November
21755946,403663,2020-12-03,Johnson,2020,12,December
21758885,404830,2020-12-31,Johnson,2020,12,December
21754483,409900,2020-11-20,Johnson,2020,11,November
21754830,414428,2020-11-24,Johnson,2020,11,November
21730890,420000,2020-08-10,Johnson,2020,8,August
21756051,424900,2020-12-04,Johnson,2020,12,December
21757540,438500,2020-12-15,Johnson,2020,12,December
21725715,439900,2020-07-23,Johnson,2020,7,July
21724913,484900,2020-07-15,Johnson,2020,7,July
21743313,575000,2020-10-19,Johnson,2020,10,October
21727899,699000,2020-07-24,Johnson,2020,7,July
21724505,1179000,2020-07-14,Johnson,2020,7,July
21714981,1195000,2020-06-02,Johnson,2020,6,June
21750245,1999000,2020-11-01,Johnson,2020,11,November
21749666,84500,2020-10-30,Johnson,2020,10,October
21753038,99000,2020-11-20,Johnson,2020,11,November
21750462,163000,2020-11-06,Johnson,2020,11,November
21750441,196900,2020-11-03,Johnson,2020,11,November
21744697,204000,2020-10-07,Johnson,2020,10,October
21758335,210000,2020-12-25,Johnson,2020,12,December
21746122,239000,2020-10-13,Johnson,2020,10,October
21757201,240000,2020-12-14,Johnson,2020,12,December
21752491,243000,2020-11-16,Johnson,2020,11,November
21742945,248000,2020-09-29,Johnson,2020,9,September
21743448,249900,2020-10-01,Johnson,2020,10,October
21735112,259900,2020-08-25,Johnson,2020,8,August
21755302,277083,2020-11-30,Johnson,2020,11,November
21735570,375000,2020-09-02,Johnson,2020,9,September
21748946,413890,2020-10-26,Johnson,2020,10,October
21752242,119900,2020-11-17,Johnson,2020,11,November
21752256,139900,2020-11-17,Johnson,2020,11,November
21752306,159000,2020-11-13,Johnson,2020,11,November
21757361,172000,2020-12-15,Johnson,2020,12,December
21754264,175000,2020-11-23,Johnson,2020,11,November
21759036,255000,2020-12-31,Johnson,2020,12,December
21757021,344900,2020-12-11,Johnson,2020,12,December
21736755,99000,2020-09-03,Johnson,2020,9,September
21735196,262990,2020-08-26,Johnson,2020,8,August
21723868,800000,2020-07-09,Johnson,2020,7,July
21739504,999000,2020-09-18,Johnson,2020,9,September
21758061,150000,2020-12-21,Johnson,2020,12,December
21754800,200000,2020-11-25,Johnson,2020,11,November
21757736,235000,2020-12-17,Johnson,2020,12,December
21754462,238000,2020-11-24,Johnson,2020,11,November
21755528,239900,2020-12-07,Johnson,2020,12,December
21757987,245000,2020-12-21,Johnson,2020,12,December
21755508,245000,2020-12-01,Johnson,2020,12,December
21748837,254900,2020-10-26,Johnson,2020,10,October
21758287,265000,2020-12-26,Johnson,2020,12,December
21750999,273493,2020-11-05,Johnson,2020,11,November
21756026,279000,2020-12-04,Johnson,2020,12,December
21752589,283516,2020-11-16,Johnson,2020,11,November
21752583,288569,2020-11-16,Johnson,2020,11,November
21752915,290000,2020-11-17,Johnson,2020,11,November
